Date,Fighter 1,Fighter 2,Winner,Method of Victory ,Weight Class,Venue,Title Fight,Main Event,Time Elapsed,F1 TDA,F1 TDL,F1 Control Time,F2 TDA,F2 TDL,F2 Control Time,F1 Total Strikes,F1 Sig Strikes,F1 Head Strike,F1 Body Strike,F1 Leg Strike,F2 Total Strikes,F2 Sig Strikes,F2 Head Strike,F2 Body Strike,F2 Leg Strike,F1 KD,F2 KD,Submission,KO/TKO,Finish,Decision,Stand Up,Late Sub,Late KO,Last Second Finish,F1 Control Proportion,F2 Control Proportion,F1 Sig Strike/Min,F2 Strike/Min,F2 Sig Strike/Min,F1 TDA/Min,F2 TDA/Min,F1 Strike/KD,F2 Strike/KD,F1 KD/Min,F2 KD/Min,F2 KD/Sec
3/11/2023,Victor Henry,Tony Gravely,F1,SD,BW,"Las Vegas, NV",0,0,900,0,0,80,17,3,202,281,154,92,55,7,169,75,44,20,11,0,0,0,0,0,1,0,0,0,0,0.09,0.22,18.72,10.26,11.28,4.98,0,1.14,0,0,0,0
3/11/2023,Tyson Nam,Bruno Silva,F2,RNC,FLW,"Las Vegas, NV",0,0,383,0,0,0,1,0,53,38,12,6,3,3,50,23,14,5,4,0,1,1,0,1,0,1,0,0,0,0,0.14,5.94,1.86,7.86,3.6,0,0.18,0,1.2,0,0
3/11/2023,Carlston Harris,Jared Gooden,F1,UD,WW,"Las Vegas, NV",0,0,900,12,5,578,0,0,2,194,63,52,10,1,126,51,22,21,8,0,0,0,0,0,1,0,0,0,0,0.64,0,12.96,4.2,8.4,3.42,0.78,0,0,0,0,0
3/4/2023,Jon Jones,Ciryl Gane,F1,Guillotine,HW,"Las Vegas, NV",1,1,124,2,2,57,0,0,0,14,5,2,0,3,9,6,1,2,3,0,0,1,0,1,0,0,0,0,0,0.46,0,6.78,2.4,4.38,2.88,0.96,0,0,0,0,0
3/4/2023,Geoff Neal,Shavkat Rakhmonov,F2,RNC,WW,"Las Vegas, NV",0,0,857,0,0,72,4,0,223,145,69,63,4,2,186,113,69,39,5,0,0,1,0,1,0,1,1,0,1,0.08,0.26,10.14,4.86,13.02,7.92,0,0.3,0,0,0,0
3/4/2023,Mateusz Gamrot,Jalin Turner,F1,SD,LW,"Las Vegas, NV",0,0,900,12,4,412,1,0,32,109,29,18,2,9,119,40,23,14,3,0,0,0,0,0,1,0,0,0,0,0.46,0.04,7.26,1.92,7.92,2.64,0.78,0.06,0,0,0,0
3/4/2023,Bo Nickal,Jamie Pickett,F1,Arm Triangle,MW,"Las Vegas, NV",0,0,174,4,1,150,0,0,0,6,1,0,1,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.86,0,2.04,0.36,0.66,0.36,1.38,0,0,0,0,0
3/4/2023,Cody Garbrandt,Trevin Jones,F1,UD,BW,"Las Vegas, NV",0,0,900,3,2,152,2,1,99,40,26,8,14,4,79,20,9,8,3,0,0,0,0,0,1,0,0,0,0,0.17,0.11,2.64,1.74,5.28,1.32,0.18,0.12,0,0,0,0
3/4/2023,Derek Brunson,Dricus Du Plessis,F2,KO/TKO,MW,"Las Vegas, NV",0,0,599,2,1,150,2,1,85,90,37,27,9,1,132,71,55,8,8,0,1,0,1,1,0,0,0,0,0,0.25,0.14,9,3.72,13.2,7.14,0.18,0.18,0,0.48,0,0
3/4/2023,Julian Marquez,Marc Barriault,F2,KO/TKO,MW,"Las Vegas, NV",0,0,552,1,0,0,0,0,89,172,82,63,10,9,246,109,91,18,0,0,0,0,1,1,0,1,0,0,0,0,0.16,18.72,8.94,26.76,11.82,0.12,0,0,0,0,0
