Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference,Sig Strikes Absorbed per Minute,Takedowns Faced per Minute,Takedowns Suffered per Minute
Brady Hiestand,BW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,7.80,2.83,0.63,0.30,0.00,-3.11,-1.44,0.34,0.20,-0.03,4.03,0.20,0.10
Fernando Garcia,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,8.33,1.40,0.13,0.07,0.00,-2.58,-2.87,-0.16,-0.03,-0.03,1.27,0.53,0.20
Dustin Poirer ,LW,3,8.18,3,0,0,0,2,0,1,0,0,0.67,0.33,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,10.97,4.97,0.12,0.08,0.04,0.55,0.89,-0.18,-0.03,0.02,4.04,0.33,0.12
Michael Chandler,LW,5,8.02,2,3,0,1,2,1,0,1,0,1,0,1,0.33,0.33,0.33,0.67,13.44,5.49,0.35,0.13,0.05,3.03,1.40,0.04,0.01,0.03,5.14,0.05,0.02
Frankie Edgar,BW,3,5.44,0,3,0,0,0,3,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,13.30,6.01,0.55,0.18,0.00,2.39,1.73,0.26,0.09,-0.03,6.13,0.00,0.00
Dan Hooker,LW,5,6.31,2,3,1,0,1,2,0,1,0.5,0.5,0,0.5,0,0.67,0.33,1,13.62,4.06,0.22,0.10,0.03,3.21,-0.03,-0.08,-0.02,0.01,3.17,0.32,0.03
Claudio Puelles,LW,4,10.13,3,1,1,0,0,1,2,0,0.33,0,0.67,0.67,0,1,0,1,5.77,1.70,0.49,0.12,0.00,-4.64,-2.38,0.19,0.01,-0.02,2.25,0.22,0.07
Brad Riddell,LW,4,7.85,1,3,1,0,0,1,0,2,1,0,0,0,0,0.33,0.67,1,9.77,5.22,0.54,0.19,0.00,-0.64,1.14,0.24,0.08,-0.02,4.84,0.19,0.03
Renato Moicano,LW,4,11.07,2,2,0,1,0,0,2,1,0,0,1,1,0.5,0,0.5,0.5,8.31,3.55,0.38,0.16,0.00,-2.10,-0.54,0.08,0.05,-0.02,4.67,0.38,0.11
Dominick Reyes,LHW,2,5.41,0,2,0,0,0,2,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,11.65,6.29,0.09,0.09,0.00,1.98,2.19,-0.15,0.01,-0.02,7.86,0.18,0.09
Andre Petroski,MW,4,11.06,4,0,1,0,1,0,2,0,0.25,0.25,0.5,0.75,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.39,3.64,0.63,0.36,0.00,-1.78,-0.36,0.35,0.26,-0.02,2.28,0.09,0.02
Wellington Turman,MW,4,10.31,2,2,1,1,0,1,1,0,0.5,0,0.5,0.5,0.5,0.5,0,0.5,6.89,3.06,0.61,0.07,0.00,-3.27,-0.95,0.33,-0.03,-0.02,3.86,0.39,0.22
Matt Frevola,LW,4,5.22,2,2,0,1,2,1,0,0,0,1,0,1,0.5,0.5,0,0.5,11.45,4.17,0.10,0.00,0.24,1.04,0.08,-0.21,-0.11,0.22,3.55,0.62,0.48
Ottman Azaitar,LW,1,2.5,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,9.20,4.00,0.00,0.00,0.00,-1.21,-0.08,-0.30,-0.11,-0.02,4.40,0.00,0.00
Mike Trizano,FW,2,9.93,2,0,1,0,1,0,0,0,0.5,0.5,0,0.5,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.98,4.43,0.00,0.00,0.10,-1.09,0.10,-0.26,-0.10,0.08,3.58,0.40,0.20
Seung-Woo Choi,FW,5,9,2,3,1,1,1,1,0,1,0.5,0.5,0,0.5,0.33,0.33,0.33,0.67,11.92,3.54,0.13,0.07,0.07,0.85,-0.80,-0.13,-0.03,0.05,3.60,0.20,0.07
Julio Arce,BW,4,11.33,2,2,1,1,1,1,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,13.54,4.59,0.07,0.02,0.00,2.63,0.31,-0.22,-0.08,-0.03,3.49,0.11,0.00
Montel Jackson,BW,3,10.66,3,0,2,0,1,0,0,0,0.67,0.33,0,0.33,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.45,2.75,0.25,0.13,0.22,-2.47,-1.52,-0.04,0.03,0.19,1.50,0.28,0.06
Carlos Ulberg,LHW,4,7.08,3,1,1,0,2,1,0,0,0.33,0.67,0,0.67,0,1,0,1,13.64,8.52,0.07,0.07,0.07,3.97,4.42,-0.17,-0.01,0.05,3.53,0.04,0.00
Nicolae Negumereanu,LHW,5,8.72,4,1,2,0,2,1,0,0,0.5,0.5,0,0.5,0,1,0,1,12.83,4.57,0.32,0.09,0.00,3.16,0.47,0.08,0.01,-0.02,5.87,0.07,0.00
Daniel Rodriguez,WW,5,12.47,4,1,3,0,1,0,0,1,0.75,0.25,0,0.25,0,0,1,1,13.86,7.19,0.03,0.00,0.00,3.13,2.87,-0.21,-0.09,-0.02,4.41,0.37,0.18
Derrick Minner,FLW,4,9.98,1,3,1,1,0,2,0,0,1,0,0,0,0.33,0.67,0,0.67,6.39,2.38,0.20,0.18,0.03,-3.22,-1.23,-0.08,0.07,0.00,2.35,0.13,0.03
Tagir Ulanbekov,FLW,3,10.73,2,1,1,1,0,0,1,0,0.5,0,0.5,0.5,1,0,0,0,9.73,3.48,0.53,0.22,0.00,0.12,-0.13,0.24,0.11,-0.03,3.36,0.31,0.09
Nate Maness,BW,3,8.12,1,2,0,1,1,0,0,1,0,1,0,1,0.5,0,0.5,0.5,8.05,1.52,0.04,0.04,0.04,-2.86,-2.75,-0.25,-0.06,0.01,4.68,0.49,0.21
Grant Dawson,LW,4,14.06,3,1,0,0,1,0,2,0,0,0.33,0.67,1,0,0,0,0,8.46,2.79,0.84,0.23,0.02,-1.95,-1.29,0.53,0.12,0.00,2.67,0.04,0.02
Mark Madsen,LW,3,14.03,2,1,2,0,0,0,0,1,1,0,0,0,0,0,1,1,8.98,3.61,0.10,0.07,0.00,-1.43,-0.47,-0.21,-0.04,-0.02,4.11,0.19,0.07
Benito Lopez,BW,1,4.9,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,5.10,3.47,0.00,0.00,0.00,-5.81,-0.81,-0.29,-0.10,-0.03,8.98,0.20,0.20
Liudvik Sholinian,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,11.07,3.73,0.13,0.00,0.00,0.15,-0.54,-0.16,-0.10,-0.03,5.20,0.27,0.13
Johnny Munoz,BW,3,7.91,2,1,1,0,0,1,1,0,0.5,0,0.5,0.5,0,1,0,1,15.26,3.96,0.34,0.17,0.00,4.35,-0.31,0.05,0.07,-0.03,2.87,0.08,0.00
Carlos Candelario,FLW,2,11.33,0,2,0,1,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0.5,0.5,8.61,3.44,0.27,0.13,0.00,-1.00,-0.16,-0.02,0.03,-0.03,6.49,0.22,0.04
Josh Hadley,FLW,1,7.65,1,0,0,0,0,0,1,0,0,0,1,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,24.58,11.77,0.00,0.00,0.00,14.97,8.16,-0.28,-0.10,-0.03,9.02,0.13,0.13
Calvin Kattar,FW,4,20.03,1,3,1,2,0,1,0,0,1,0,0,0,0.67,0.33,0,0.33,14.18,5.25,0.11,0.03,0.01,3.11,0.92,-0.15,-0.08,-0.01,8.84,0.06,0.00
Tim Means,WW,3,12.16,1,2,1,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,11.00,3.32,0.38,0.17,0.00,0.27,-1.00,0.14,0.08,-0.02,3.62,0.30,0.08
Max Griffin ,WW,4,11.83,3,1,2,1,1,0,0,0,0.67,0.33,0,0.33,1,0,0,0,9.06,4.63,0.21,0.09,0.09,-1.67,0.31,-0.03,0.00,0.06,3.76,0.38,0.08
Jared Vanderaa,HW,7,11.58,1,6,1,2,0,3,0,1,1,0,0,0,0.33,0.5,0.17,0.67,12.18,4.90,0.01,0.00,0.00,2.10,0.80,-0.17,-0.07,-0.02,5.71,0.12,0.10
Josh Fremd ,MW,1,5.82,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,9.80,4.13,0.17,0.00,0.00,-0.36,0.12,-0.11,-0.11,-0.02,1.72,0.69,0.52
Tresean Gore,MW,3,8.22,1,2,0,1,0,1,1,0,0,0,1,1,0.5,0.5,0,0.5,7.22,3.04,0.28,0.20,0.00,-2.94,-0.96,0.00,0.10,-0.02,6.13,0.45,0.08
Khalil Rountree,LHW,4,10.73,3,1,1,1,2,0,0,0,0.33,0.67,0,0.67,1,0,0,0,12.84,4.61,0.02,0.00,0.07,3.17,0.52,-0.22,-0.09,0.05,6.10,0.12,0.00
Phil Hawes,MW,5,9.6,3,2,2,0,1,1,0,1,0.67,0.33,0,0.33,0,0.5,0.5,1,13.56,5.71,0.38,0.17,0.02,3.40,1.70,0.10,0.06,0.01,3.25,0.15,0.00
Andre Arlovski,HW,5,10.6,3,2,3,0,0,0,0,2,1,0,0,0,0,0,1,1,11.46,5.32,0.00,0.00,0.00,1.38,1.23,-0.18,-0.07,-0.02,5.55,0.08,0.06
Marcos de Lima,HW,4,8.09,3,1,1,1,1,0,1,0,0.33,0.33,0.33,0.67,1,0,0,0,13.35,3.15,0.28,0.12,0.03,3.27,-0.94,0.10,0.05,0.01,2.19,0.15,0.00
Joseph Holmes,MW,3,8.04,1,2,0,1,0,0,1,1,0,0,1,1,0.5,0,0.5,0.5,6.88,3.61,0.12,0.04,0.04,-3.28,-0.40,-0.16,-0.07,0.03,2.86,0.33,0.17
Jun-Yong Park,MW,1,8.07,1,0,0,0,0,0,1,0,0,0,1,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.42,2.23,0.50,0.25,0.00,-0.74,-1.77,0.22,0.14,-0.02,2.48,0.00,0.00
Chase Hooper,FW,3,9.84,1,2,0,1,1,1,0,0,0,1,0,1,0.5,0.5,0,0.5,11.92,3.42,0.54,0.24,0.00,0.85,-0.91,0.28,0.14,-0.02,3.35,0.17,0.10
Cody Durden,FLW,4,8.03,3,1,2,0,1,0,0,1,0.67,0.33,0,0.33,0,0,1,1,9.32,3.15,0.59,0.31,0.03,-0.29,-0.46,0.31,0.21,0.00,2.68,0.16,0.03
Carlos Mota,FLW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,4.13,0.80,0.00,0.00,0.00,-5.48,-2.81,-0.28,-0.10,-0.03,1.13,0.53,0.27
Joshua Weems,BW,1,4.12,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,7.77,4.37,0.73,0.49,0.00,-3.14,0.10,0.44,0.39,-0.03,2.19,0.49,0.00
Charles Oliveira,LW,4,7,3,1,0,0,1,0,2,1,0,0.33,0.67,1,0,0,1,1,10.58,5.22,0.36,0.04,0.11,0.17,1.13,0.05,-0.08,0.08,4.97,0.11,0.07
Aljamain Sterling,BW,3,17.74,3,0,1,0,1,0,0,0,0.33,0.33,0,0.33,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,10.97,4.34,0.88,0.15,0.00,0.06,0.07,0.59,0.05,-0.03,2.95,0.13,0.13
TJ Dillashaw ,BW,2,16.87,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,10.76,3.50,0.56,0.06,0.00,-0.15,-0.78,0.27,-0.04,-0.03,5.93,0.27,0.15
Sean O'Malley,BW,5,11.25,4,1,1,0,3,0,0,0,0.25,0.75,0,0.75,0,0,0,0,13.44,8.25,0.02,0.00,0.07,2.52,3.97,-0.27,-0.10,0.04,3.38,0.30,0.12
Beniel Dariush,LW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.20,3.93,0.00,0.00,0.07,-1.21,-0.15,-0.30,-0.11,0.04,2.20,1.27,0.27
Belal Muhammad,WW,6,14.18,5,1,4,0,1,0,0,0,0.8,0.2,0,0.2,0,0,0,0,14.49,4.47,0.34,0.15,0.00,3.76,0.15,0.10,0.07,-0.02,3.17,0.34,0.01
Sean Brady,WW,3,12.75,2,1,1,0,0,1,1,0,0.5,0,0.5,0.5,0,1,0,1,10.07,2.95,0.37,0.16,0.00,-0.66,-1.36,0.12,0.07,-0.02,3.40,0.03,0.03
Makhmud Muradov,MW,3,11.6,1,2,0,1,1,0,0,1,0,1,0,1,0.5,0,0.5,0.5,10.92,3.82,0.12,0.06,0.00,0.76,-0.18,-0.16,-0.05,-0.02,2.84,0.40,0.11
Caio Borralho,MW,3,14.64,3,0,3,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,5.60,1.41,0.18,0.14,0.00,-4.56,-2.59,-0.10,0.03,-0.02,1.30,0.09,0.07
Volkan Oezdemir,LHW,3,15,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,9.76,3.60,0.09,0.04,0.00,0.09,-0.49,-0.15,-0.04,-0.02,3.47,0.87,0.18
Abubakar Nurmagomedov,WW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,8.93,3.33,0.30,0.07,0.00,-1.80,-0.98,0.06,-0.02,-0.02,2.70,0.23,0.03
Gadzhi Omargadzhiev,MW,2,14.47,0,2,0,2,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,8.02,1.73,0.31,0.07,0.00,-2.14,-2.27,0.03,-0.04,-0.02,2.45,0.17,0.07
Armen Petrosyan,MW,3,15,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,13.56,6.13,0.02,0.00,0.00,3.39,2.13,-0.26,-0.11,-0.02,2.91,0.24,0.20
AJ Dobson,MW,2,15,0,2,0,2,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,9.27,3.67,0.10,0.10,0.00,-0.90,-0.34,-0.18,-0.01,-0.02,6.60,0.57,0.20
Cub Swanson,FW,3,4.19,1,2,0,0,1,2,0,0,0,1,0,1,0,1,0,1,9.87,5.81,0.08,0.08,0.08,-1.20,1.48,-0.18,-0.02,0.06,6.05,0.24,0.00
Jordan Wright,MW,3,3.58,1,2,0,0,1,2,0,0,0,1,0,1,0,1,0,1,14.07,6.62,0.47,0.28,0.09,3.91,2.61,0.19,0.17,0.08,7.83,0.37,0.00
Misha Cirkunov,LHW,4,6.03,1,3,0,1,1,1,0,1,0,1,0,1,0.33,0.33,0.33,0.67,8.16,3.36,0.99,0.25,0.00,-1.51,-0.74,0.75,0.16,-0.02,3.31,0.25,0.04
Brandon Davis,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,12.60,5.07,0.20,0.07,0.00,1.69,0.79,-0.09,-0.03,-0.03,5.80,0.27,0.07
Nick Maximov,MW,4,11.57,2,2,2,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,7.76,1.75,0.69,0.32,0.00,-2.40,-2.25,0.41,0.22,-0.02,3.39,0.30,0.19
Jacob Malkoun,MW,4,15,3,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,11.67,3.72,1.12,0.50,0.00,1.50,-0.29,0.84,0.39,-0.02,2.53,0.03,0.03
Joanderson Brito,FW,3,5.91,2,1,0,1,1,0,1,0,0,0.5,0.5,1,1,0,0,0,7.96,3.27,0.34,0.23,0.06,-3.11,-1.06,0.08,0.13,0.04,3.73,0.11,0.11
Mike Jackson,WW,2,2.71,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,9.79,5.17,0.37,0.00,0.00,-0.94,0.86,0.13,-0.09,-0.02,10.71,0.18,0.18
Pete Rodriguez,WW,2,2.27,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,23.82,10.37,0.00,0.00,0.22,13.09,6.05,-0.24,-0.09,0.20,11.69,0.22,0.00
Francisco Trinaldo,WW,4,15,2,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,8.28,3.25,0.15,0.03,0.00,-2.45,-1.06,-0.09,-0.05,-0.02,3.15,0.08,0.05
Sodiq Yusuff,FW,3,10.17,2,1,1,1,0,0,1,0,0.5,0,0.5,0.5,1,0,0,0,10.03,3.93,0.13,0.03,0.00,-1.03,-0.40,-0.13,-0.07,-0.02,2.95,0.30,0.10
Mike Davis,LW,2,15,2,0,2,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,12.80,5.77,0.67,0.40,0.00,2.39,1.68,0.36,0.29,-0.02,6.00,0.13,0.03
Viacheslav Borshchev,LW,3,11.26,1,2,0,2,1,0,0,0,0,1,0,1,1,0,0,0,6.25,2.69,0.00,0.00,0.03,-4.17,-1.39,-0.30,-0.11,0.01,2.75,0.95,0.65
John Castaneda,BW,3,8.61,1,2,0,0,1,1,0,1,0,1,0,1,0,0.5,0.5,1,13.01,6.08,0.27,0.12,0.12,2.09,1.80,-0.02,0.02,0.09,4.65,0.23,0.12
Daniel Santos,BW,2,12.23,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,14.96,4.82,0.25,0.08,0.04,4.05,0.55,-0.05,-0.02,0.01,7.52,0.29,0.12
Ilir Latifi,HW,2,15,2,0,2,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,6.20,1.60,0.30,0.17,0.00,-3.88,-2.49,0.12,0.09,-0.02,2.43,0.00,0.00
Aleksei  Oleinik,HW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,7.53,1.87,0.00,0.00,0.00,-2.55,-2.23,-0.18,-0.07,-0.02,2.53,0.40,0.20
Joaquim Silva,LW,2,4.38,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,11.20,5.26,0.00,0.00,0.11,0.79,1.17,-0.30,-0.11,0.09,5.60,0.11,0.00
Jesse Ronson,LW,2,8.98,0,2,0,0,0,1,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0.5,0.5,1,8.18,3.56,0.11,0.00,0.00,-2.23,-0.52,-0.19,-0.11,-0.02,4.45,0.22,0.17
Krzysztof Jotko,MW,4,12.32,2,2,2,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,10.80,2.96,0.16,0.10,0.00,0.63,-1.04,-0.12,-0.01,-0.02,3.35,0.45,0.14
Randy Costa ,BW,2,4.13,0,2,0,0,0,1,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0.5,0.5,1,19.39,8.61,0.00,0.00,0.00,8.48,4.33,-0.29,-0.10,-0.03,8.73,0.12,0.12
Song Yadong ,BW,2,11.05,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,11.72,3.08,0.09,0.09,0.05,0.81,-1.20,-0.20,-0.01,0.02,4.66,0.63,0.05
Andre Fili,FW,3,7.15,1,2,1,0,0,1,0,0,1,0,0,0,0,0.5,0,0.5,11.38,4.62,0.19,0.09,0.00,0.31,0.28,-0.08,-0.01,-0.02,5.13,0.47,0.00
Alen Amedovski,MW,2,2.49,0,2,0,0,0,1,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0.5,0.5,1,7.63,2.41,0.00,0.00,0.00,-2.54,-1.59,-0.28,-0.11,-0.02,6.02,0.20,0.20
Rordrigo Nascimento,HW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.93,2.40,0.47,0.20,0.00,-0.15,-1.69,0.28,0.13,-0.02,4.13,0.00,0.00
Anthony Hernandez,MW,3,11.26,3,0,1,0,0,0,2,0,0.33,0,0.67,0.67,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.32,3.52,0.74,0.47,0.00,-1.84,-0.48,0.46,0.37,-0.02,1.92,0.33,0.15
Pat Sabatini,FW,5,9.61,3,2,2,1,0,1,1,0,0.67,0,0.33,0.33,0.5,0.5,0,0.5,8.41,1.67,0.58,0.25,0.02,-2.66,-2.67,0.32,0.15,0.00,1.50,0.15,0.08
Louis Cosce,WW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,3.27,0.67,0.07,0.07,0.00,-7.46,-3.65,-0.18,-0.02,-0.02,1.67,0.33,0.13
Nikolas Motta,LW,2,5.39,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,9.46,4.17,0.00,0.00,0.09,-0.95,0.09,-0.30,-0.11,0.07,5.84,0.00,0.00
Cameron VanCamp,WW,2,3.2,0,2,0,0,0,2,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,11.09,5.31,0.00,0.00,0.00,0.36,1.00,-0.24,-0.09,-0.02,6.41,0.00,0.00
Nick Diaz,MW,2,14.21,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,19.57,8.83,0.04,0.00,0.00,9.40,4.83,-0.24,-0.11,-0.02,7.43,0.11,0.04
Tony Ferguson,LW,3,12.72,0,3,0,1,0,1,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.33,0.33,0.33,0.67,7.58,3.01,0.08,0.03,0.00,-2.84,-1.07,-0.23,-0.09,-0.02,3.96,0.18,0.10
Khamzat Chimaev,WW,3,6.83,3,0,1,0,0,0,2,0,0.33,0,0.67,0.67,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,14.79,6.49,0.49,0.24,0.05,4.06,2.18,0.25,0.16,0.03,5.81,0.24,0.00
Li Jingliang,WW,4,8.08,2,2,0,1,2,0,0,1,0,1,0,1,0.5,0,0.5,0.5,9.81,4.24,0.09,0.06,0.06,-0.92,-0.07,-0.15,-0.02,0.04,4.55,0.15,0.06
Hakeem Dawodu,FW,3,15,1,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,12.40,5.64,0.02,0.00,0.00,1.33,1.31,-0.24,-0.10,-0.02,4.53,0.44,0.27
Jake Collier,HW,4,9.96,1,3,0,2,0,1,1,0,0,0,1,1,0.67,0.33,0,0.33,16.80,7.38,0.18,0.10,0.03,6.72,3.29,-0.01,0.03,0.00,6.25,0.00,0.00
Chris Barnett,HW,4,8.38,2,2,0,1,2,0,0,1,0,1,0,1,0.5,0,0.5,0.5,10.94,4.41,0.03,0.00,0.03,0.86,0.32,-0.15,-0.07,0.01,5.87,0.09,0.06
Chad Anheliger,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,10.87,2.60,0.00,0.00,0.00,-0.05,-1.67,-0.29,-0.10,-0.03,3.27,0.13,0.13
Alatengheili,BW,3,10.26,2,1,1,0,1,0,0,0,0.5,0.5,0,0.5,0,0,0,0,9.26,3.05,0.10,0.07,0.03,-1.66,-1.22,-0.19,-0.03,0.01,2.76,0.26,0.10
Darian Weeks,WW,3,15,0,3,0,3,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,9.53,4.49,0.44,0.13,0.00,-1.20,0.18,0.20,0.05,-0.02,4.56,0.04,0.00
Robert Whittaker,MW,3,21.67,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,8.35,4.35,0.28,0.14,0.00,-1.81,0.35,0.00,0.03,-0.02,2.68,0.09,0.02
Alessio Di Chirico,MW,3,4.54,1,2,0,0,1,2,0,0,0,1,0,1,0,1,0,1,11.44,3.81,0.29,0.00,0.07,1.28,-0.19,0.01,-0.11,0.06,4.62,0.00,0.00
William Gomis,FW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.07,2.13,0.33,0.20,0.00,-3.00,-2.20,0.07,0.10,-0.02,1.33,0.13,0.00
Jarno Errens,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,4.27,1.33,0.13,0.00,0.00,-6.80,-3.00,-0.13,-0.10,-0.02,2.13,0.33,0.20
Charles Jourdain,FW,6,12.5,3,3,1,2,1,0,1,1,0.33,0.33,0.33,0.67,0.67,0,0.33,0.33,15.42,7.08,0.08,0.01,0.04,4.35,2.75,-0.18,-0.09,0.02,5.07,0.32,0.16
Nathaniel Wood,FW,2,15,2,0,2,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,13.33,6.47,0.30,0.20,0.00,2.27,2.14,0.04,0.10,-0.02,4.57,0.37,0.10
Abus Magomedov,MW,1,0.32,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,22.11,22.11,0.00,0.00,3.16,11.94,18.10,-0.28,-0.11,3.14,0.00,0.00,0.00
Dustin Stoltzfus,MW,3,9.07,1,2,1,0,0,1,0,1,1,0,0,0,0,0.5,0.5,1,14.04,4.26,0.29,0.07,0.00,3.87,0.26,0.01,-0.03,-0.02,3.97,0.15,0.11
John Makdessi,LW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,15.10,6.57,0.00,0.00,0.00,4.69,2.48,-0.30,-0.11,-0.02,5.87,0.23,0.07
Nasrat Haqparast,LW,4,15,2,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,11.15,4.43,0.10,0.03,0.02,0.74,0.35,-0.20,-0.08,-0.01,6.43,0.18,0.05
Fares Ziam,LW,3,10.73,2,1,2,0,0,0,0,1,1,0,0,0,0,0,1,1,8.95,3.11,0.22,0.09,0.00,-1.46,-0.98,-0.09,-0.02,-0.02,2.02,0.34,0.06
Michal Figlak,LW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,8.40,1.87,0.33,0.07,0.00,-2.01,-2.22,0.03,-0.04,-0.02,4.00,0.47,0.20
Benoit Saint Denis,WW,3,8.93,2,1,0,1,1,0,1,0,0,0.5,0.5,1,1,0,0,0,11.94,4.37,0.75,0.22,0.11,1.21,0.05,0.50,0.14,0.09,6.72,0.26,0.04
Gabriel Miranda,LW,1,5.27,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,10.06,3.80,0.57,0.19,0.00,-0.35,-0.29,0.27,0.08,-0.02,7.97,0.19,0.19
Khalid Taha,BW,2,9.13,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,10.14,2.14,0.06,0.00,0.00,-0.78,-2.14,-0.24,-0.10,-0.03,3.78,0.88,0.33
Cristian Quinonez,BW,1,3.25,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,14.46,5.85,0.00,0.00,0.00,3.55,1.57,-0.29,-0.10,-0.03,1.85,0.00,0.00
