Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference,Sig Strikes Absorbed per Minute,Takedowns Faced per Minute,Takedowns Suffered per Minute
Jack Maddalena,WW,4,2.78,4,0,0,0,3,0,1,0,0,0.75,0.25,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,19.76,9.70,0.00,0.00,0.45,9.03,5.39,-0.24,-0.09,0.43,4.31,0.27,0.09
Randy Brown,WW,5,10.01,4,1,3,0,0,0,1,1,0.75,0,0.25,0.25,0,0,1,1,13.01,5.89,0.12,0.00,0.04,2.28,1.58,-0.12,-0.09,0.02,4.34,0.08,0.02
Justin Tafa,HW,4,8.25,2,2,0,2,2,0,0,0,0,1,0,1,1,0,0,0,10.43,5.25,0.06,0.00,0.06,0.35,1.15,-0.12,-0.07,0.04,6.37,0.06,0.00
Parker Porter,HW,4,8.92,2,2,2,0,0,1,0,1,1,0,0,0,0,0.5,0.5,1,12.89,5.58,0.45,0.08,0.00,2.81,1.48,0.27,0.01,-0.02,5.55,0.06,0.03
Jimmy Crute,LHW,3,6.93,0,3,0,0,0,2,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0.67,0,0.67,8.27,2.64,0.77,0.43,0.00,-1.40,-1.45,0.53,0.35,-0.02,4.13,0.00,0.00
Alonzo Menifield,LHW,6,8.72,4,2,1,1,2,0,1,0,0.25,0.5,0.25,0.75,0.5,0,0,0,8.53,4.26,0.13,0.08,0.06,-1.14,0.17,-0.11,-0.01,0.03,2.56,0.38,0.13
Tyson Pedro,LHW,3,7,2,1,0,1,2,0,0,0,0,1,0,1,1,0,0,0,6.19,3.48,0.14,0.10,0.10,-3.48,-0.62,-0.10,0.01,0.07,2.38,0.00,0.00
Modestas Bukauskas,LHW,3,12.5,1,2,1,1,0,1,0,0,1,0,0,0,0.5,0.5,0,0.5,9.12,3.33,0.03,0.00,0.00,-0.55,-0.76,-0.22,-0.09,-0.02,3.71,0.13,0.05
Josh Culibao,FW,3,12.34,3,0,2,0,0,0,1,0,0.67,0,0.33,0.33,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.56,3.24,0.03,0.00,0.05,-2.51,-1.09,-0.24,-0.10,0.03,2.40,0.43,0.08
Melsik Baghdasaryan,FW,3,9.62,2,1,1,0,1,0,0,1,0.5,0.5,0,0.5,0,0,1,1,8.73,5.02,0.00,0.00,0.04,-2.34,0.69,-0.26,-0.10,0.02,3.01,0.17,0.03
Shannon Ross,FLW,1,0.98,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,4.07,1.02,0.00,0.00,0.00,-5.54,-2.59,-0.28,-0.10,-0.03,14.24,0.00,0.00
Kleydson Rodrigues,FLW,2,7.99,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,11.26,5.94,0.44,0.13,0.06,1.65,2.34,0.15,0.02,0.03,4.50,0.00,0.00
Jamie Mullarkey,LW,5,8.88,4,1,2,0,2,1,0,0,0.5,0.5,0,0.5,0,1,0,1,12.14,5.66,0.25,0.11,0.05,1.73,1.57,-0.06,0.00,0.02,4.06,0.11,0.02
Francisco Prado,LW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,5.20,1.87,0.13,0.00,0.00,-5.21,-2.22,-0.17,-0.11,-0.02,3.93,0.27,0.20
Jack Jenkins,FW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,10.00,5.47,0.33,0.27,0.00,-1.07,1.14,0.07,0.17,-0.02,3.33,0.20,0.07
Don Shainis,FW,2,7.75,0,2,0,1,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0.5,0.5,12.65,3.42,0.26,0.07,0.00,1.58,-0.91,-0.01,-0.04,-0.02,5.87,0.32,0.26
Shane Young,FW,2,15,0,2,0,2,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,10.57,4.20,0.27,0.03,0.00,-0.50,-0.13,0.00,-0.07,-0.02,6.00,0.30,0.10
Blake Bilder,FW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,13.73,7.40,0.47,0.07,0.00,2.67,3.07,0.20,-0.03,-0.02,5.33,0.20,0.00
Zubair Tukhugov,FW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,11.90,4.90,0.37,0.07,0.00,0.83,0.57,0.10,-0.03,-0.02,4.57,0.10,0.00
Elves Brener,LW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,11.33,4.60,0.20,0.00,0.00,0.92,0.52,-0.10,-0.11,-0.02,4.67,0.27,0.00
Derrick Lewis,HW,6,5.81,2,4,0,0,2,3,0,1,0,1,0,1,0,0.75,0.25,1,4.13,1.95,0.17,0.06,0.06,-5.95,-2.14,-0.01,-0.02,0.03,5.36,0.34,0.17
Serghei Spivac,HW,6,6.85,5,1,1,0,3,1,1,0,0.2,0.6,0.2,0.8,0,1,0,1,12.90,4.41,0.61,0.44,0.00,2.82,0.31,0.43,0.36,-0.02,2.51,0.05,0.02
Da Woon Jung,LHW,3,11.02,2,1,1,1,1,0,0,0,0.5,0.5,0,0.5,1,0,0,0,6.84,1.88,0.42,0.27,0.03,-2.83,-2.22,0.18,0.19,0.01,1.88,0.42,0.09
Devin Clark ,LHW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,8.87,2.07,0.57,0.13,0.00,-0.80,-2.03,0.32,0.05,-0.02,2.73,0.57,0.30
Marcin Tybura,HW,4,12.28,3,1,2,1,1,0,0,0,0.67,0.33,0,0.33,1,0,0,0,10.10,3.04,0.39,0.04,0.00,0.02,-1.06,0.20,-0.03,-0.02,3.50,0.12,0.04
Blagoy Ivanov,HW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,8.50,3.20,0.13,0.00,0.00,-1.58,-0.89,-0.05,-0.07,-0.02,3.60,0.20,0.07
Dooho Choi,FW,1,15,0,1,0,0,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,0,0,7.60,3.33,0.00,0.00,0.00,-3.47,-1.00,-0.26,-0.10,-0.02,1.33,0.67,0.33
Kyle Nelson,LW,2,15,0,2,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0,0,5.23,2.03,0.47,0.17,0.00,-5.18,-2.05,0.16,0.06,-0.02,2.87,0.03,0.00
Yusaku Kinoshita ,WW,1,4.6,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,5.44,2.17,0.22,0.00,0.00,-5.29,-2.14,-0.03,-0.09,-0.02,4.57,1.52,0.87
Adam Fuggit,WW,2,2.88,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,30.26,14.78,2.61,0.87,0.00,19.53,10.47,2.37,0.78,-0.02,16.17,0.35,0.00
Jeka Saragih,LW,1,8.73,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,4.58,1.60,0.00,0.00,0.00,-5.83,-2.48,-0.30,-0.11,-0.02,4.35,0.57,0.23
Anshul Jubli,LW,1,8.73,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,11.34,4.35,0.57,0.23,0.00,0.92,0.27,0.27,0.12,-0.02,1.60,0.00,0.00
JeongYeong Lee,FW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,7.00,1.67,0.00,0.00,0.00,-4.07,-2.66,-0.26,-0.10,-0.02,1.60,1.40,0.33
Zha Yi,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,4.93,1.60,1.40,0.33,0.00,-6.13,-2.73,1.14,0.23,-0.02,1.67,0.00,0.00
Toshiomi Kazama,BW,1,0.55,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,18.18,7.27,0.00,0.00,0.00,7.27,3.00,-0.29,-0.10,-0.03,20.00,0.00,0.00
Rinya Nakamura,BW,1,0.55,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,45.46,20.00,0.00,0.00,3.64,34.54,15.73,-0.29,-0.10,3.61,7.27,0.00,0.00
SeungGuk Choi,FLW,1,13.18,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,6.30,1.52,0.15,0.00,0.08,-3.31,-2.09,-0.13,-0.10,0.05,2.88,0.23,0.08
HyunSung Park,FLW,1,13.18,1,0,0,0,0,0,1,0,0,0,1,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.48,2.88,0.23,0.08,0.00,-0.13,-0.72,-0.06,-0.03,-0.03,1.52,0.15,0.00
Junyong Park,MW,3,9.1,2,1,1,0,0,1,1,0,0.5,0,0.5,0.5,0,1,0,1,11.69,5.57,0.29,0.11,0.00,1.52,1.57,0.01,0.00,-0.02,4.91,0.22,0.11
