Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference
Austin Lingo,FLW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,12.333,4.867,0,0,0.067,2.7242,1.2614,-0.2843,-0.104,0.0373
Domingo Pilarte,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,10.6,0.2,0,0,0,-0.313,-4.074,-0.2908,-0.0984,-0.0264
Roosevelt Roberts,LW,1,14.92,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,12.402,3.687,0.804,0,0,1.9895,-0.3972,0.4998,-0.1115,-0.0222
Sasha Palatnikkov,WW,1,2.55,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,1.176,0.392,0,0,0,-9.5538,-3.9218,-0.2426,-0.0865,-0.0226
Casey Kenney,BW,2,15,0,2,0,2,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,13.067,5.067,0.233,0.033,0,2.154,0.793,-0.0578,-0.0654,-0.0264
Drako Rodriguez,BW,2,9.04,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,10.562,3.65,0.276,0.166,0,-0.351,-0.624,-0.0148,0.0676,-0.0264
Anderson Dos Santos,BW,1,11.27,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,14.645,2.84,0.444,0,0,3.732,-1.434,0.1532,-0.0984,-0.0264
Jamey Simmons,BW,1,7.58,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,5.275,0.923,0,0,0,-5.638,-3.351,-0.2908,-0.0984,-0.0264
Kai Kamaka,FW,2,15,0,2,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0,0,8.967,3.633,0.133,0.033,0.033,-2.0999,-0.6988,-0.1307,-0.067,0.0139
Ryan Benoit,FLW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,10.067,2.467,0.067,0,0.067,0.4582,-1.1386,-0.2173,-0.104,0.0373
Ian Heinisch,MW,2,11.58,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,6.911,2.203,0.389,0.043,0,-3.2519,-1.7997,0.1094,-0.0637,-0.0155
Jordan ,WW,1,2.95,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,11.864,4.407,0.339,0.339,0,1.1342,0.0932,0.0964,0.2525,-0.0226
