Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference
Max Holloway,FW,4,25,3,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,17.79,9.49,0.09,0.03,0,6.7231,5.1582,-0.1737,-0.07,-0.0191
Arnold Allen,FW,4,11.92,3,1,1,1,2,0,0,0,0.33,0.67,0,0.67,1,0,0,0,9.416,3.649,0.105,0.042,0.021,-1.6509,-0.6828,-0.1587,-0.058,0.0019
Edson Barboza,FW,4,9.9,2,2,0,1,2,1,0,0,0,1,0,1,0.5,0.5,0,0.5,9.213,4.241,0,0,0.05,-1.8539,-0.0908,-0.2637,-0.1,0.0309
Billy Quarantillo,FW,4,9.95,2,2,0,1,2,1,0,0,0,1,0,1,0.5,0.5,0,0.5,22.095,9.3,0.679,0.126,0.025,11.0281,4.9682,0.4153,0.026,0.0059
Dustin Jacoby,LHW,8,12.04,5,3,3,2,2,0,0,0,0.6,0.4,0,0.4,0.67,0,0,0,14.592,6.419,0.156,0.031,0.01,4.9235,2.3254,-0.0875,-0.0541,-0.0142
Azamat Murzakanov,LHW,3,12.34,3,0,1,0,2,0,0,0,0.33,0.67,0,0.67,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.83,4.698,0.297,0.054,0.081,-0.8385,0.6044,0.0535,-0.0311,0.0568
Tanner Boser,HW,4,9.9,1,3,0,2,1,1,0,0,0,1,0,1,0.67,0.33,0,0.33,11.641,3.662,0,0,0.025,1.5611,-0.4312,-0.1823,-0.0749,0.0022
Ion Cutelaba,LHW,6,7.35,2,4,1,0,1,1,0,2,0.5,0.5,0,0.5,0,0.25,0.5,0.75,10.612,4.059,0.998,0.544,0.023,0.9435,-0.0346,0.7545,0.4589,-0.0012
Pedro Munhoz,BW,5,13.63,2,3,2,2,0,0,0,0,1,0,0,0,0.67,0,0,0,11.401,4.828,0.029,0,0.029,0.488,0.554,-0.2618,-0.0984,0.0026
Chris Gutierrez,BW,5,10.92,4,1,2,1,2,0,0,0,0.5,0.5,0,0.5,1,0,0,0,9.747,5.368,0.073,0.018,0.055,-1.166,1.094,-0.2178,-0.0804,0.0286
Clay Guida,LW,6,11.56,3,3,2,2,0,0,1,1,0.67,0,0.33,0.33,0.67,0,0.33,0.33,12.672,3.907,0.476,0.13,0,2.2595,-0.1772,0.1718,0.0185,-0.0222
Rafa Garcia,LW,6,14.14,3,3,2,3,0,0,1,0,0.67,0,0.33,0.33,1,0,0,0,12.365,4.515,0.495,0.2,0,1.9525,0.4308,0.1908,0.0885,-0.0222
Bill Algeo,FW,5,11.7,3,2,1,2,1,0,1,0,0.33,0.33,0.33,0.67,1,0,0,0,14.291,5.265,0.137,0.068,0.017,3.2241,0.9332,-0.1267,-0.032,-0.0021
TJ Brown,FW,5,13.07,3,2,2,1,0,0,1,1,0.67,0,0.33,0.33,0.5,0,0.5,0.5,10.895,3.856,0.352,0.184,0,-0.1719,-0.4758,0.0883,0.084,-0.0191
Brandon Royval,FLW,4,6.54,3,1,1,0,1,0,1,1,0.33,0.33,0.33,0.67,0,0,1,1,12.008,3.212,0.038,0.038,0.038,2.3992,-0.3936,-0.2463,-0.066,0.0083
Matheus Nicolau,FLW,5,10.78,4,1,3,0,1,1,0,0,0.75,0.25,0,0.25,0,1,0,1,8.481,3.508,0.241,0.074,0.056,-1.1278,-0.0976,-0.0433,-0.03,0.0263
Zak Cummings,LHW,1,14.22,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,13.294,7.034,0,0,0.211,3.6255,2.9404,-0.2435,-0.0851,0.1868
Ed Herman,LHW,2,14.61,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,9.173,3.252,0.034,0,0,-0.4955,-0.8416,-0.2095,-0.0851,-0.0242
Lando Vannata,FW,3,10.84,1,2,1,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,8.545,4.273,0.154,0.061,0,-2.5219,-0.0588,-0.1097,-0.039,-0.0191
Daniel Zellhuber,LW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,13.433,4.333,0.033,0,0.033,3.0205,0.2488,-0.2712,-0.1115,0.0108
Aaron Phillips,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,6.933,1.133,0.267,0.067,0,-3.98,-3.141,-0.0238,-0.0314,-0.0264
Gaston Bolanos,BW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9,4.2,0,0,0,-1.913,-0.074,-0.2908,-0.0984,-0.0264
Alex Pereira,MW,5,10.85,4,1,1,0,3,1,0,0,0.25,0.75,0,0.75,0,1,0,1,11.259,5.233,0.018,0.018,0.037,1.0961,1.2303,-0.2616,-0.0887,0.0215
Israel Adesanya,LHW,6,21.89,4,2,3,1,1,1,0,0,0.75,0.25,0,0.25,0.5,0.5,0,0.5,8.83,3.776,0.03,0.008,0.015,-0.8385,-0.3176,-0.2135,-0.0771,-0.0092
Gilbert Burns,WW,4,11.2,3,1,2,0,0,1,1,0,0.67,0,0.33,0.33,0,1,0,1,8.858,2.7,0.357,0.179,0,-1.8718,-1.6138,0.1144,0.0925,-0.0226
Jorge Masvidal,WW,3,15.34,0,3,0,2,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.67,0.33,0,0.33,8.146,2.976,0,0,0,-2.5838,-1.3378,-0.2426,-0.0865,-0.0226
Rob Font,BW,4,19.49,2,2,1,2,1,0,0,0,0.5,0.5,0,0.5,1,0,0,0,16.921,8.069,0.141,0.051,0.013,6.008,3.795,-0.1498,-0.0474,-0.0134
Adrian Yanez,BW,5,7.88,4,1,1,0,3,1,0,0,0.25,0.75,0,0.75,0,1,0,1,16.853,6.726,0,0,0.102,5.94,2.452,-0.2908,-0.0984,0.0756
Kevin Holland,MW,8,12.66,3,5,0,2,2,1,1,1,0,0.67,0.33,1,0.4,0.2,0.2,0.4,10.622,3.425,0.079,0.03,0.02,0.4591,-0.5777,-0.2006,-0.0767,0.0045
Santiago Ponzinibbio,WW,6,10.69,2,4,1,2,1,2,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,15.553,6.826,0.171,0.031,0.016,4.8232,2.5122,-0.0716,-0.0555,-0.0066
Raul Rosas,BW,2,8.87,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1.861,0.282,1.071,0.282,0,-9.052,-3.992,0.7802,0.1836,-0.0264
Christian Rodriguez,FW,3,11.37,2,1,1,1,0,0,1,0,0.5,0,0.5,0.5,1,0,0,0,6.507,1.876,0.147,0.088,0,-4.5599,-2.4558,-0.1167,-0.012,-0.0191
Chris Curtis,MW,6,10.71,4,2,1,2,3,0,0,0,0.25,0.75,0,0.75,1,0,0,0,11.738,5.293,0,0,0.047,1.5751,1.2903,-0.2796,-0.1067,0.0315
Kelvin Gastelum,MW,4,20,2,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,9.675,3.4,0.275,0.188,0,-0.4879,-0.6027,-0.0046,0.0813,-0.0155
Gerald Meerschaert,MW,6,8.61,4,2,0,1,0,1,4,0,0,0,1,1,0.5,0.5,0,0.5,7.101,2.786,0.406,0.116,0.019,-3.0619,-1.2167,0.1264,0.0093,0.0035
Joe Pyfer,MW,2,3.58,2,0,0,0,2,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.628,3.907,0,0,0.14,-0.5349,-0.0957,-0.2796,-0.1067,0.1245
Ignacio Bahamondes,LW,4,14.15,3,1,1,1,1,0,1,0,0.33,0.33,0.33,0.67,1,0,0,0,17.355,7.811,0.071,0,0.018,6.9425,3.7268,-0.2332,-0.1115,-0.0042
Trey Ogden,LW,3,15,1,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,10.222,3.422,0.311,0.044,0,-0.1905,-0.6622,0.0068,-0.0675,-0.0222
Shayilan Nuerdanbieke,FW,5,10.34,3,2,2,1,1,1,0,0,0.67,0.33,0,0.33,0.5,0.5,0,0.5,9.571,2.282,0.58,0.193,0.058,-1.4959,-2.0498,0.3163,0.093,0.0389
Steve Garcia,LW,4,3.8,3,1,0,0,3,1,0,0,0,1,0,1,0,1,0,1,15.181,5.717,0.329,0.197,0.263,4.7685,1.6328,0.0248,0.0855,0.2408
Marlon Vera,BW,5,19.22,4,1,2,1,2,0,0,0,0.5,0.5,0,0.5,1,0,0,0,10.269,4.9,0.031,0.021,0.073,-0.644,0.626,-0.2598,-0.0774,0.0466
Cory Sandhagen,BW,5,19.09,3,2,1,2,2,0,0,0,0.33,0.67,0,0.67,1,0,0,0,14.895,5.457,0.346,0.052,0.01,3.982,1.183,0.0552,-0.0464,-0.0164
Nate Landwehr,FW,3,8.37,2,1,1,0,0,1,1,0,0.5,0,0.5,0.5,0,1,0,1,17.001,6.53,0.239,0.159,0,5.9341,2.1982,-0.0247,0.059,-0.0191
Austin Lingo ,FW,2,12.09,0,2,0,1,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0.5,0.5,14.266,5.913,0.083,0.041,0.041,3.1991,1.5812,-0.1807,-0.059,0.0219
Chidi Njokuani,MW,4,6.63,2,2,0,1,2,1,0,0,0,1,0,1,0.5,0.5,0,0.5,7.844,4.111,0,0,0.075,-2.3189,0.1083,-0.2796,-0.1067,0.0595
Albert Duraev,MW,3,13.33,2,1,2,0,0,1,0,0,1,0,0,0,0,1,0,1,12.1,3.15,0.525,0.125,0,1.9371,-0.8527,0.2454,0.0183,-0.0155
Daniel Pineda,FW,2,6.8,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,9.412,2.868,0.662,0.074,0.074,-1.6549,-1.4638,0.3983,-0.026,0.0549
Tucker Lutz,FW,3,12.61,1,2,1,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,8.749,3.806,0.238,0.106,0,-2.3179,-0.5258,-0.0257,0.006,-0.0191
Steven Peterson,FW,3,15,1,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,11.156,4.956,0.156,0.022,0,0.0891,0.6242,-0.1077,-0.078,-0.0191
Lucas Alexander,FW,2,8.52,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,9.452,5.049,0,0,0.059,-1.6149,0.7172,-0.2637,-0.1,0.0399
Trevin Giles,MW,5,11.16,3,2,3,0,0,2,0,0,1,0,0,0,0,1,0,1,5.647,2.241,0.215,0.072,0,-4.5159,-1.7617,-0.0646,-0.0347,-0.0155
Preston Parsons,WW,3,11.26,1,2,1,1,0,1,0,0,1,0,0,0,0.5,0.5,0,0.5,9.887,4.144,0.622,0.207,0,-0.8428,-0.1698,0.3794,0.1205,-0.0226
CJ Vegara,FLW,3,11.13,2,1,1,0,1,0,0,1,0.5,0.5,0,0.5,0,0,1,1,12.731,5.182,0,0,0,3.1222,1.5764,-0.2843,-0.104,-0.0297
Daniel Lacerda,FLW,4,4.86,0,4,0,0,0,3,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0.75,0.25,1,11.054,4.833,0.257,0.103,0.154,1.4452,1.2274,-0.0273,-0.001,0.1243
Victor Altamirano,FLW,3,11.22,2,1,1,1,1,0,0,0,0.5,0.5,0,0.5,1,0,0,0,13.254,5.914,0.773,0.119,0.03,3.6452,2.3084,0.4887,0.015,0.0003
Vinicius Salvador,FLW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,11.2,3.133,0.4,0.067,0,1.5912,-0.4726,0.1157,-0.037,-0.0297
Leon Edwards,WW,4,19.84,3,1,2,0,1,0,0,0,0.67,0.33,0,0.33,0,0,0,0,5.393,3.415,0.151,0.063,0.013,-5.3368,-0.8988,-0.0916,-0.0235,-0.0096
Kamaru Usman,WW,5,18.13,3,2,1,1,2,1,0,0,0.33,0.67,0,0.67,0.5,0.5,0,0.5,11.228,4.379,0.331,0.132,0.055,0.4982,0.0652,0.0884,0.0455,0.0324
Justin Gaethje,LW,3,11.12,2,1,2,0,0,0,0,1,1,0,0,0,0,0,1,1,12.348,7.193,0.09,0.03,0.06,1.9355,3.1088,-0.2142,-0.0815,0.0378
Rafael Fiziev,LW,4,15.66,3,1,1,1,2,0,0,0,0.33,0.67,0,0.67,1,0,0,0,11.288,5.285,0.016,0,0.016,0.8755,1.2008,-0.2882,-0.1115,-0.0062
Gunnar Nelson,WW,2,9.93,2,0,1,0,0,0,1,0,0.5,0,0.5,0.5,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.421,2.72,0.252,0.202,0,-1.3088,-1.5938,0.0094,0.1155,-0.0226
Bryan Barbarena,WW,5,12.93,3,2,2,1,1,0,0,1,0.67,0.33,0,0.33,0.5,0,0.5,0.5,16.245,6.545,0.015,0,0,5.5152,2.2312,-0.2276,-0.0865,-0.0226
Marvin Vettori,MW,5,21,3,2,3,2,0,0,0,0,1,0,0,0,1,0,0,0,11.171,3.914,0.352,0.152,0,1.0081,-0.0887,0.0724,0.0453,-0.0155
Roman Dolidze ,MW,4,10.81,2,2,0,2,0,0,2,0,0,0,1,1,1,0,0,0,9.988,3.376,0.092,0.023,0.023,-0.1749,-0.6267,-0.1876,-0.0837,0.0075
Jack Shore,BW,5,12.58,4,1,3,0,0,0,1,1,0.75,0,0.25,0.25,0,0,1,1,7.883,3.894,0.509,0.191,0.032,-3.03,-0.38,0.2182,0.0926,0.0056
Makwan Amirkhani,FW,5,7.96,1,4,0,1,0,2,1,1,0,0,1,1,0.25,0.5,0.25,0.75,3.116,1.131,0.653,0.352,0,-7.9509,-3.2008,0.3893,0.252,-0.0191
Chris Duncan ,LW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,6.133,3.533,0.933,0.333,0,-4.2795,-0.5512,0.6288,0.2215,-0.0222
Omar Morales,FW,4,11.65,1,3,1,1,0,1,0,1,1,0,0,0,0.33,0.33,0.33,0.67,7.79,3.455,0.043,0.043,0,-3.2769,-0.8768,-0.2207,-0.057,-0.0191
Sam Patterson,LW,1,1.25,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,5.6,1.6,0,0,0,-4.8125,-2.4842,-0.3042,-0.1115,-0.0222
Yanal Ashmoz,LW,1,1.25,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,16,12,0.8,0.8,0,5.5875,7.9158,0.4958,0.6885,-0.0222
Muhammad Mokaev,FLW,4,11.23,4,0,1,0,0,0,3,0,0.25,0,0.75,0.75,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,6.521,1.135,0.912,0.49,0.022,-3.0878,-2.4706,0.6277,0.386,-0.0077
Jafael Filho ,FLW,1,14.53,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,5.986,0.619,0,0,0,-3.6228,-2.9866,-0.2843,-0.104,-0.0297
Lerone Murphy,FW,3,11.74,3,0,2,0,1,0,0,0,0.67,0.33,0,0.33,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.139,4.115,0.17,0.057,0.028,-1.9279,-0.2168,-0.0937,-0.043,0.0089
Gabriel Santos,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,9.4,4.6,0.733,0.333,0,-1.6669,0.2682,0.4693,0.233,-0.0191
Chris Duncan,MW,1,1.87,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,10.179,4.821,0,0,0,0.0161,0.8183,-0.2796,-0.1067,-0.0155
Dusko Todorovic,MW,6,6.54,2,4,1,1,1,3,0,0,0.5,0.5,0,0.5,0.25,0.75,0,0.75,11.062,4.053,0.408,0.076,0,0.8991,0.0503,0.1284,-0.0307,-0.0155
Jake Hadley,FLW,2,8.01,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,4.433,1.124,0,0,0.062,-5.1758,-2.4816,-0.2843,-0.104,0.0323
Malcom Gordon,FLW,4,7.95,2,2,1,0,1,1,0,1,0.5,0.5,0,0.5,0,0.5,0.5,1,7.449,2.169,0.409,0.126,0,-2.1598,-1.4366,0.1247,0.022,-0.0297
Jai Herbert,LW,5,9.69,2,3,1,0,1,1,0,1,0.5,0.5,0,0.5,0,0.33,0.33,0.67,9.553,2.724,0.083,0.021,0.041,-0.8595,-1.3602,-0.2212,-0.0905,0.0188
Ludovit Klein,FW,4,15,2,2,2,1,0,0,0,0,1,0,0,0,0.5,0,0,0,7.533,3.367,0.217,0.1,0.017,-3.5339,-0.9648,-0.0467,0,-0.0021
Petr Yan,BW,5,21.9,1,4,1,3,0,0,0,0,1,0,0,0,0.75,0,0,0,8.376,3.937,0.247,0.128,0.018,-2.537,-0.337,-0.0438,0.0296,-0.0084
Merab Dvalishvili,BW,4,16.1,4,0,3,0,1,0,0,0,0.75,0.25,0,0.25,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,19.312,5.34,0.994,0.31,0,8.399,1.066,0.7032,0.2116,-0.0264
Alexander Volkov,HW,5,6.06,3,2,1,0,2,1,0,1,0.33,0.67,0,0.67,0,0.5,0.5,1,11.083,5.772,0,0,0.033,1.0031,1.6788,-0.1823,-0.0749,0.0102
Alexander Romanov,HW,5,8.05,3,2,1,1,1,1,1,0,0.33,0.33,0.33,0.67,0.5,0.5,0,0.5,8.894,3.379,0.621,0.298,0,-1.1859,-0.7142,0.4387,0.2231,-0.0228
Nikita Krylov,LHW,5,7.74,2,3,0,2,1,0,1,1,0,0.5,0.5,1,0.67,0,0.33,0.33,12.868,4.031,0.749,0.284,0.052,3.1995,-0.0626,0.5055,0.1989,0.0278
Ryan Spann,LHW,5,2.46,2,3,0,0,1,1,1,2,0,0.5,0.5,1,0,0.33,0.67,1,7.236,3.252,0.325,0.081,0.163,-2.4325,-0.8416,0.0815,-0.0041,0.1388
Said Nurmagomedov,BW,4,9.9,3,1,1,1,0,0,2,0,0.33,0,0.67,0.67,1,0,0,0,8.355,2.6,0.429,0.101,0,-2.558,-1.674,0.1382,0.0026,-0.0264
Jonathan Martinez,BW,6,12.89,5,1,4,0,1,1,0,0,0.8,0.2,0,0.2,0,1,0,1,9.849,4.95,0.052,0.026,0.039,-1.064,0.676,-0.2388,-0.0724,0.0126
Mario Bautista,BW,5,6.29,4,1,1,0,0,1,3,0,0.25,0,0.75,0.75,0,1,0,1,10.562,4.645,0.414,0.318,0,-0.351,0.371,0.1232,0.2196,-0.0264
Guido Cannetti,BW,4,5.37,2,2,0,1,1,0,1,1,0,0.5,0.5,1,0.5,0,0.5,0.5,8.053,4.841,0.093,0.093,0,-2.86,0.567,-0.1978,-0.0054,-0.0264
Vito Petrino,LHW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,6.933,2.6,0.6,0.467,0,-2.7355,-1.4936,0.3565,0.3819,-0.0242
Anton Turkalj,LHW,2,9.73,0,2,0,1,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0.5,0.5,4.524,1.748,0.771,0.257,0,-5.1445,-2.3456,0.5275,0.1719,-0.0242
Karl Williams,HW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,11.2,2.533,0.867,0.533,0.067,1.1201,-1.5602,0.6847,0.4581,0.0442
Lukasz Brzeski,HW,2,15,0,2,0,2,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,10.967,4.8,0.033,0,0,0.8871,0.7068,-0.1493,-0.0749,-0.0228
Raphael Assuncao ,BW,3,12.32,1,2,1,0,0,1,0,1,1,0,0,0,0,0.5,0.5,1,6.035,2.95,0.46,0.189,0,-4.878,-1.324,0.1692,0.0906,-0.0264
Davey Grant,BW,5,12.72,3,2,0,2,2,0,1,0,0,0.67,0.33,1,1,0,0,0,14.453,5.898,0.079,0.016,0.047,3.54,1.624,-0.2118,-0.0824,0.0206
Sedriques Dumas,MW,1,8,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,5.875,2.5,0.125,0,0,-4.2879,-1.5027,-0.1546,-0.1067,-0.0155
Josh Fremd,MW,2,11.5,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,6.304,2.783,0.13,0.13,0,-3.8589,-1.2197,-0.1496,0.0233,-0.0155
Victor Henry,BW,3,15,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,18.044,8.667,0.044,0,0,7.131,4.393,-0.2468,-0.0984,-0.0264
Tony Gravely,BW,6,9.97,3,3,1,2,2,1,0,0,0.33,0.67,0,0.67,0.67,0.33,0,0.33,10.332,3.912,0.953,0.351,0.05,-0.581,-0.362,0.6622,0.2526,0.0236
Tyson Nam,FLW,3,8.12,1,2,0,1,1,0,0,1,0,1,0,1,0.5,0,0.5,0.5,10.506,3.406,0,0,0.041,0.8972,-0.1996,-0.2843,-0.104,0.0113
Bruno Silva,FLW,7,6.88,5,2,0,1,4,0,1,1,0,0.8,0.2,1,0.5,0,0.5,0.5,9.837,3.985,0.27,0.062,0.125,0.2282,0.3794,-0.0143,-0.042,0.0953
Carlston Harris,WW,4,6.17,3,1,1,0,1,1,1,0,0.33,0.33,0.33,0.67,0,1,0,1,11.878,4.135,0.649,0.203,0.041,1.1482,-0.1788,0.4064,0.1165,0.0184
Jared Gooden,WW,4,11.53,2,2,1,2,1,0,0,0,0.5,0.5,0,0.5,1,0,0,0,11.228,4.097,0.022,0.022,0.022,0.4982,-0.2168,-0.2206,-0.0645,-0.0006
Jon Jones,HW,1,2.07,1,0,0,0,0,0,1,0,0,0,1,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,6.774,2.419,0.968,0.968,0,-3.3059,-1.6742,0.7857,0.8931,-0.0228
Ciryl Gane,HW,6,17.61,4,2,2,1,2,0,0,1,0.5,0.5,0,0.5,0.5,0,0.5,0.5,8.34,4.866,0.218,0.028,0.009,-1.7399,0.7728,0.0357,-0.0469,-0.0138
Geoff Neal,WW,4,11.33,2,2,1,1,1,0,0,1,0.5,0.5,0,0.5,0.5,0,0.5,0.5,13.201,6.843,0.11,0.044,0.044,2.4712,2.5292,-0.1326,-0.0425,0.0214
Shavkat Rakhmonov,WW,4,8.9,4,0,0,0,1,0,3,0,0,0.25,0.75,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.543,4.665,0.281,0.112,0.028,-2.1868,0.3512,0.0384,0.0255,0.0054
Mateusz Gamrot,LW,6,11.81,5,1,2,1,2,0,1,0,0.4,0.4,0.2,0.6,1,0,0,0,6.969,2.934,0.931,0.296,0.014,-3.4435,-1.1502,0.6268,0.1845,-0.0082
Jalin Turner,LW,4,6.38,3,1,0,1,1,0,2,0,0,0.33,0.67,1,1,0,0,0,11.906,4.7,0.117,0.078,0.039,1.4935,0.6158,-0.1872,-0.0335,0.0168
Bo Nickal,MW,1,2.9,1,0,0,0,0,0,1,0,0,0,1,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,2.069,0.345,1.379,0.345,0,-8.0939,-3.6577,1.0994,0.2383,-0.0155
Jamie Pickett,MW,6,8.14,2,4,2,0,0,2,0,2,1,0,0,0,0,0.5,0.5,1,7.456,3.421,0.246,0.082,0,-2.7069,-0.5817,-0.0336,-0.0247,-0.0155
Cody Garbrandt,BW,3,14.45,1,2,1,1,0,1,0,0,1,0,0,0,0.5,0.5,0,0.5,4.983,2.261,0.323,0.115,0,-5.93,-2.013,0.0322,0.0166,-0.0264
Trevin Jones,BW,5,13.09,1,4,0,3,1,0,0,1,0,1,0,1,0.75,0,0.25,0.25,7.244,1.956,0.275,0.031,0.015,-3.669,-2.318,-0.0158,-0.0674,-0.0114
Derek Brunson,MW,4,14.17,2,2,1,0,0,2,1,0,0.5,0,0.5,0.5,0,1,0,1,11.661,2.893,0.582,0.229,0.018,1.4981,-1.1097,0.3024,0.1223,0.0025
Dricus Du Plessis,MW,4,11.1,4,0,1,0,2,0,1,0,0.25,0.5,0.25,0.75,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,13.519,6.647,0.428,0.203,0.045,3.3561,2.6443,0.1484,0.0963,0.0295
Julian Marquez,MW,4,8.48,2,2,0,0,0,2,2,0,0,0,1,1,0,1,0,1,13.097,5.811,0.059,0,0.029,2.9341,1.8083,-0.2206,-0.1067,0.0135
Marc Barriault,MW,6,8.98,4,2,1,0,2,1,1,1,0.25,0.5,0.25,0.75,0,0.5,0.5,1,17.983,7.572,0.019,0,0.019,7.8201,3.5693,-0.2606,-0.1067,0.0035
Ian Garry,WW,4,12.34,4,0,2,0,2,0,0,0,0.5,0.5,0,0.5,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,12.563,6.788,0.041,0.02,0.061,1.8332,2.4742,-0.2016,-0.0665,0.0384
Song Kenan,WW,2,8.35,0,2,0,0,0,2,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,8.623,4.132,0.18,0.12,0.06,-2.1068,-0.1818,-0.0626,0.0335,0.0374
Mana Martinez,BW,4,15,2,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,10.783,4.417,0.117,0.05,0.067,-0.13,0.143,-0.1738,-0.0484,0.0406
Cory Saaiman,BW,2,14.61,2,0,1,0,1,0,0,0,0.5,0.5,0,0.5,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,14.41,5.819,0.034,0.034,0.034,3.497,1.545,-0.2568,-0.0644,0.0076
Damon Blackshear,BW,2,15,0,2,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0,0,8.5,2.433,0.367,0.067,0,-2.413,-1.841,0.0762,-0.0314,-0.0264
Farid Basharat,BW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,7.667,3.867,0.4,0.2,0,-3.246,-0.407,0.1092,0.1016,-0.0264
Esteban Ribovics ,LW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,10.8,4.4,0.067,0,0.067,0.3875,0.3158,-0.2372,-0.1115,0.0448
Loik Radzhabov,LW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,7.8,2.667,1.4,0.733,0,-2.6125,-1.4172,1.0958,0.6215,-0.0222
Andre Muniz,MW,4,9.15,3,1,1,0,0,0,2,1,0.33,0,0.67,0.67,0,0,1,1,9.422,2.048,0.574,0.218,0,-0.7409,-1.9547,0.2944,0.1113,-0.0155
Brendan Allen,MW,7,9.68,6,1,2,0,0,1,4,0,0.33,0,0.67,0.67,0,1,0,1,9.24,4.015,0.162,0.089,0.015,-0.9229,0.0123,-0.1176,-0.0177,-0.0005
