Name,Weight Class,Total Fights,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference
Michael Johnson,LW,4,0.3435000000000006,0.3567999999999998,-0.19220000000000004,-0.0925,0.014799999999999997
Marc Diakiese,LW,4,-3.9804999999999993,-2.2042,0.4648,0.29450000000000004,-0.0222
Darren Elkins,FW,4,4.4940999999999995,-0.5758000000000005,0.19930000000000003,0.095,-0.0191
Jonathan Pearce,FW,4,2.3340999999999994,0.4912000000000001,0.42829999999999996,0.277,-0.0191
Natan Levy,LW,3,-1.0124999999999993,0.49380000000000024,0.42879999999999996,0.28850000000000003,-0.0222
Genaro Valdez,LW,2,1.1494999999999997,-0.8512,-0.24920000000000003,-0.1115,-0.0222
Marcelo Rojo,FW,3,2.1740999999999993,0.5842,-0.2027,-0.069,-0.0191
Francis Marshall,FW,1,3.2111,-0.6418000000000004,0.2173,0.06,0.1409
Kennedy Nzechukwu,LHW,6,1.1545000000000005,0.5913999999999993,-0.08049999999999999,0.0059000000000000025,0.011799999999999998
Chase Sherman,HW,6,4.1751000000000005,2.5648,-0.1503,-0.058899999999999994,-0.0068000000000000005
Waldo Cortes-Acosta,HW,2,4.5870999999999995,3.2398,-0.1823,-0.0749,-0.0228
Andre Fialho,WW,5,-2.1267999999999994,-1.1427999999999998,-0.2426,-0.0865,0.026400000000000003
Muslim Salikhov,WW,3,-1.7897999999999996,-0.36279999999999957,0.009399999999999992,0.02550000000000001,0.005400000000000002
Danny Roberts,WW,2,-1.9797999999999991,-2.0857999999999994,-0.18860000000000002,-0.0865,-0.0226
Zhalgas Zhumagulov,FLW,5,3.257199999999999,1.4074,0.10770000000000002,-0.025999999999999995,-0.0297
Vince Morales,BW,4,0.9299999999999997,-0.17100000000000026,-0.20579999999999998,-0.0774,-0.0053999999999999986
Miles Johns,BW,3,-2.654,-0.2629999999999999,0.052200000000000024,-0.0724,-0.00040000000000000105
Ricky Turcios,BW,3,5.530999999999999,0.05900000000000016,-0.04680000000000001,-0.009400000000000006,-0.004400000000000001
Kevin Natividad,BW,2,-3.524,-1.495,0.5302,0.3436,0.0366
Brady Hiestand,BW,2,-3.1130000000000004,-1.4409999999999998,0.3422,0.2016,-0.0264
Fernando Garcia,BW,1,-2.58,-2.874,-0.1578,-0.0314,-0.0264
Dustin Poirer ,LW,3,0.5525000000000002,0.8887999999999998,-0.18220000000000003,-0.0295,0.0188
Michael Chandler,LW,5,3.028500000000001,1.4017999999999997,0.04479999999999995,0.013499999999999998,0.027800000000000002
Frankie Edgar,BW,3,2.3859999999999992,1.7320000000000002,0.26120000000000004,0.0856,-0.0264
Dan Hooker,LW,5,3.2095000000000002,-0.029200000000000337,-0.08220000000000002,-0.0165,0.0098
Claudio Puelles,LW,4,-4.6395,-2.3822,0.18879999999999997,0.011499999999999996,-0.0222
Brad Riddell,LW,4,-0.6404999999999994,1.1357999999999997,0.2368,0.0795,-0.0222
Renato Moicano,LW,4,-2.102499999999999,-0.5392000000000001,0.07979999999999998,0.0465,-0.0222
Dominick Reyes,LHW,2,1.9804999999999993,2.1933999999999996,-0.1515,0.006900000000000003,-0.0242
Andre Petroski,MW,4,-1.7759,-0.3626999999999998,0.3534,0.25529999999999997,-0.0155
Wellington Turman,MW,4,-3.2749000000000006,-0.9466999999999999,0.32639999999999997,-0.03370000000000001,-0.0155
Matt Frevola,LW,4,1.041500000000001,0.08479999999999954,-0.20820000000000002,-0.1115,0.2178
Ottman Azaitar,LW,1,-1.2125000000000004,-0.08420000000000005,-0.3042,-0.1115,-0.0222
Mike Trizano,FW,2,-1.0919000000000008,0.10119999999999951,-0.2637,-0.1,0.0819
Seung-Woo Choi,FW,5,0.8491,-0.7968000000000002,-0.13069999999999998,-0.033,0.047900000000000005
Julio Arce,BW,4,2.6310000000000002,0.31400000000000006,-0.2248,-0.0764,-0.0264
Montel Jackson,BW,3,-2.4670000000000005,-1.521,-0.0408,0.0266,0.1926
Carlos Ulberg,LHW,4,3.9715000000000007,4.4224,-0.1725,-0.014100000000000001,0.046799999999999994
Nicolae Negumereanu,LHW,5,3.1575000000000006,0.4723999999999995,0.07750000000000001,0.006900000000000003,-0.0242
Daniel Rodriguez,WW,5,3.1312000000000015,2.8732000000000006,-0.2106,-0.0865,-0.0226
Derrick Minner,FLW,4,-3.2208000000000006,-1.2256,-0.08429999999999999,0.071,-0.004699999999999999
Tagir Ulanbekov,FLW,3,0.11720000000000041,-0.12559999999999993,0.24370000000000003,0.114,-0.0297
Nate Maness,BW,3,-2.8640000000000008,-2.754,-0.2498,-0.0574,0.014600000000000002
Grant Dawson,LW,4,-1.9505,-1.2932000000000001,0.5317999999999999,0.11950000000000001,-0.004200000000000002
Mark Madsen,LW,3,-1.4305000000000003,-0.47219999999999995,-0.20920000000000002,-0.04050000000000001,-0.0222
Benito Lopez,BW,1,-5.811,-0.8050000000000002,-0.2908,-0.0984,-0.0264
Liudvik Sholinian,BW,1,0.15399999999999991,-0.5409999999999999,-0.1578,-0.0984,-0.0264
Johnny Munoz,BW,3,4.350999999999999,-0.31099999999999994,0.04620000000000002,0.07060000000000001,-0.0264
Carlos Candelario,FLW,2,-0.9998000000000005,-0.16159999999999997,-0.019299999999999984,0.02800000000000001,-0.0297
Josh Hadley,FLW,1,14.966199999999999,8.159400000000002,-0.2843,-0.104,-0.0297
Calvin Kattar,FW,4,3.1090999999999998,0.9221999999999992,-0.1517,-0.07500000000000001,-0.007099999999999999
Tim Means,WW,3,0.2662000000000013,-0.9957999999999996,0.1414,0.07850000000000001,-0.0226
Max Griffin ,WW,4,-1.6667999999999985,0.31320000000000014,-0.03160000000000002,-0.0014999999999999875,0.06240000000000001
Jared Vanderaa,HW,7,2.0951000000000004,0.8037999999999998,-0.17029999999999998,-0.0749,-0.0228
Josh Fremd ,MW,1,-0.363900000000001,0.12330000000000041,-0.10760000000000003,-0.1067,-0.0155
Tresean Gore,MW,3,-2.9419000000000004,-0.9596999999999998,0.0043999999999999595,0.09630000000000001,-0.0155
Khalil Rountree,LHW,4,3.1705000000000005,0.5203999999999995,-0.2205,-0.0851,0.04580000000000001
Phil Hawes,MW,5,3.3950999999999993,1.7033000000000005,0.09539999999999998,0.060300000000000006,0.005500000000000001
Andre Arlovski,HW,5,1.3760999999999992,1.2287999999999997,-0.1823,-0.0749,-0.0228
Marcos de Lima,HW,4,3.2670999999999992,-0.9422000000000006,0.09570000000000004,0.049100000000000005,0.008199999999999999
Joseph Holmes,MW,3,-3.2849000000000004,-0.39769999999999994,-0.15560000000000002,-0.06570000000000001,0.025500000000000002
Jun-Yong Park,MW,1,-0.7419000000000011,-1.7717,0.21639999999999998,0.14129999999999998,-0.0155
Chase Hooper,FW,3,0.8521000000000001,-0.9118000000000004,0.27830000000000005,0.13699999999999998,-0.0191
Cody Durden,FLW,4,-0.29380000000000095,-0.4596,0.3077,0.20800000000000002,0.001299999999999999
Carlos Mota,FLW,1,-5.4758000000000004,-2.8056,-0.2843,-0.104,-0.0297
Joshua Weems,BW,1,-3.1400000000000006,0.09799999999999986,0.4382,0.3876,-0.0264
Charles Oliveira,LW,4,0.16549999999999976,1.1327999999999996,0.05279999999999996,-0.07550000000000001,0.0848
Aljamain Sterling,BW,3,0.06099999999999994,0.06700000000000017,0.5922000000000001,0.05159999999999999,-0.0264
TJ Dillashaw ,BW,2,-0.15200000000000102,-0.7759999999999998,0.27219999999999994,-0.039400000000000004,-0.0264
Sean O'Malley,BW,5,2.5229999999999997,3.9720000000000004,-0.2728,-0.0984,0.044599999999999994
Beniel Dariush,LW,1,-1.2125000000000004,-0.15120000000000022,-0.3042,-0.1115,0.044800000000000006
Belal Muhammad,WW,6,3.7622000000000018,0.15220000000000056,0.09840000000000002,0.0665,-0.0226
Sean Brady,WW,3,-0.6647999999999996,-1.3597999999999995,0.12339999999999998,0.07050000000000001,-0.0226
Makhmud Muradov,MW,3,0.7570999999999994,-0.18069999999999986,-0.16460000000000002,-0.0497,-0.0155
Caio Borralho,MW,3,-4.5639,-2.5917,-0.09760000000000002,0.030300000000000007,-0.0155
Volkan Oezdemir,LHW,3,0.08750000000000036,-0.49360000000000026,-0.1545,-0.0411,-0.0242
Abubakar Nurmagomedov,WW,2,-1.7967999999999993,-0.9807999999999995,0.05739999999999998,-0.01949999999999999,-0.0226
Gadzhi Omargadzhiev,MW,2,-2.1449,-2.2747,0.031399999999999983,-0.0377,-0.0155
Armen Petrosyan,MW,3,3.3930999999999987,2.1303,-0.2576,-0.1067,-0.0155
AJ Dobson,MW,2,-0.895900000000001,-0.3357000000000001,-0.1796,-0.006699999999999998,-0.0155
Cub Swanson,FW,3,-1.1998999999999995,1.4771999999999998,-0.18369999999999997,-0.020000000000000004,0.0609
Jordan Wright,MW,3,3.905099999999999,2.6123000000000003,0.1864,0.1733,0.0775
Misha Cirkunov,LHW,4,-1.5054999999999996,-0.7376000000000005,0.7505,0.1639,-0.0242
Brandon Davis,BW,1,1.6869999999999994,0.7930000000000001,-0.09079999999999999,-0.0314,-0.0264
Nick Maximov,MW,4,-2.4039,-2.2517,0.41239999999999993,0.2173,-0.0155
Jacob Malkoun,MW,4,1.5040999999999993,-0.28569999999999984,0.8373999999999999,0.3933,-0.0155
Joanderson Brito,FW,3,-3.1079000000000008,-1.0578000000000003,0.07530000000000003,0.126,0.0369
Mike Jackson,WW,2,-0.944799999999999,0.8552,0.12639999999999998,-0.0865,-0.0226
Pete Rodriguez,WW,2,13.094200000000003,6.054200000000001,-0.2426,-0.0865,0.1984
Francisco Trinaldo,WW,4,-2.4467999999999996,-1.0637999999999996,-0.09260000000000002,-0.05349999999999999,-0.0226
Sodiq Yusuff,FW,3,-1.033900000000001,-0.39780000000000015,-0.13269999999999998,-0.067,-0.0191
Mike Davis,LW,2,2.387500000000001,1.6828000000000003,0.3628,0.28850000000000003,-0.0222
Viacheslav Borshchev,LW,3,-4.166499999999999,-1.3902,-0.3042,-0.1115,0.007799999999999998
John Castaneda,BW,3,2.093,1.803,-0.019799999999999984,0.017600000000000005,0.08960000000000001
Daniel Santos,BW,2,4.045999999999999,0.5490000000000004,-0.04580000000000001,-0.016399999999999998,0.014600000000000002
Ilir Latifi,HW,2,-3.8799,-2.4932000000000003,0.1177,0.09210000000000002,-0.0228
Aleksei  Oleinik,HW,1,-2.5469,-2.2262000000000004,-0.1823,-0.0749,-0.0228
Joaquim Silva,LW,2,0.7874999999999996,1.1727999999999996,-0.3042,-0.1115,0.0918
Jesse Ronson,LW,2,-2.2304999999999993,-0.5222000000000002,-0.19320000000000004,-0.1115,-0.0222
Krzysztof Jotko,MW,4,0.6320999999999994,-1.0406999999999997,-0.11760000000000001,-0.005699999999999997,-0.0155
Randy Costa ,BW,2,8.480999999999998,4.332,-0.2908,-0.0984,-0.0264
Song Yadong ,BW,2,0.8059999999999992,-1.197,-0.2008,-0.008400000000000005,0.0186
Andre Fili,FW,3,0.3080999999999996,0.2831999999999999,-0.07769999999999999,-0.007000000000000006,-0.0191
Alen Amedovski,MW,2,-2.5379000000000005,-1.5947,-0.2796,-0.1067,-0.0155
Rordrigo Nascimento,HW,1,-0.14690000000000047,-1.6932000000000005,0.28470000000000006,0.12510000000000002,-0.0228
Anthony Hernandez,MW,3,-1.8409000000000013,-0.4786999999999999,0.4604,0.36729999999999996,-0.0155
Pat Sabatini,FW,5,-2.655900000000001,-2.6658000000000004,0.3193,0.15,0.0019000000000000024
Louis Cosce,WW,1,-7.4628,-3.6468,-0.1756,-0.01949999999999999,-0.0226
Nikolas Motta,LW,2,-0.9535,0.08879999999999999,-0.3042,-0.1115,0.0708
Cameron VanCamp,WW,2,0.3642000000000003,0.9992000000000001,-0.2426,-0.0865,-0.0226
Nick Diaz,MW,2,9.403099999999998,4.8303,-0.2446,-0.1067,-0.0155
Tony Ferguson,LW,3,-2.8374999999999995,-1.0702000000000003,-0.2252,-0.0855,-0.0222
Khamzat Chimaev,WW,3,4.0632,2.1792000000000007,0.24539999999999998,0.1575,0.026400000000000003
Li Jingliang,WW,4,-0.9207999999999998,-0.07479999999999976,-0.1496,-0.024499999999999994,0.039400000000000004
Hakeem Dawodu,FW,3,1.3331,1.3121999999999998,-0.2417,-0.1,-0.0191
Jake Collier,HW,4,6.715100000000001,3.2878,-0.0063,0.02510000000000001,0.0022000000000000006
Chris Barnett,HW,4,0.8641000000000005,0.3207999999999993,-0.1523,-0.0749,0.007199999999999998
Chad Anheliger,BW,1,-0.045999999999999375,-1.674,-0.2908,-0.0984,-0.0264
Alatengheili,BW,3,-1.6550000000000011,-1.2200000000000002,-0.1938,-0.0334,0.005600000000000001
Darian Weeks,WW,3,-1.1967999999999996,0.17520000000000024,0.2014,0.046500000000000014,-0.0226
Robert Whittaker,MW,3,-1.8089000000000013,0.35130000000000017,-0.002599999999999991,0.03130000000000001,-0.0155
Alessio Di Chirico,MW,3,1.2800999999999991,-0.18869999999999987,0.013399999999999967,-0.1067,0.057499999999999996
William Gomis,FW,1,-2.9999000000000002,-2.1988000000000003,0.06930000000000003,0.1,-0.0191
Jarno Errens,FW,1,-6.7999,-2.9988,-0.13069999999999998,-0.1,-0.0191
Charles Jourdain,FW,6,4.350099999999999,2.7501999999999995,-0.18369999999999997,-0.08700000000000001,0.020900000000000002
Nathaniel Wood,FW,2,2.2661,2.1351999999999993,0.0363,0.1,-0.0191
Abus Magomedov,MW,1,11.9421,18.1023,-0.2796,-0.1067,3.1425
Dustin Stoltzfus,MW,3,3.873099999999999,0.25929999999999964,0.014399999999999968,-0.03370000000000001,-0.0155
John Makdessi,LW,2,4.6875,2.4828,-0.3042,-0.1115,-0.0222
Nasrat Haqparast,LW,4,0.7375000000000007,0.3487999999999998,-0.20420000000000002,-0.0785,-0.0052
Fares Ziam,LW,3,-1.4634999999999998,-0.9771999999999998,-0.08620000000000003,-0.018500000000000003,-0.0222
Michal Figlak,LW,1,-2.0124999999999993,-2.2172,0.028799999999999992,-0.0445,-0.0222
Benoit Saint Denis,WW,3,1.2102000000000004,0.052200000000000024,0.5034,0.1375,0.08940000000000001
Gabriel Miranda,LW,1,-0.34949999999999903,-0.2871999999999999,0.2657999999999999,0.0785,-0.0222
Khalid Taha,BW,2,-0.7759999999999998,-2.137,-0.2358,-0.0984,-0.0264
Cristian Quinonez,BW,1,3.5489999999999995,1.572,-0.2908,-0.0984,-0.0264
