Fighter 1,Fighter 2,Winner,Weight Class,Venue,Title Fight,Main Event,F1 Lay Pray,F2 Lay Pray,Winner LP,F1 Failed LP,F2 Failed LP,Decisions,Stinker,F1 Frozen,F2 Frozen,Potential Robbery,Stand Up,F1 Active,F2 Active,Comeback Win,BangFest,F1 Head Hunter,F2 Head Hunter,F1 Leg Kicker,F2 Leg Kicker,Paul Craig,Massacre,F1 Beatdown,F2 Beatdown,Submission,KO
Toshiomi Kazama,Rinya Nakamura,F2,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
SeungGuk Choi,HyunSung Park,F2,FYW,Apex,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0
Junyong Park,Denis Tiuliulin,F1,MW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Tatsuro Taira,Jesus Aguilar,F1,FYW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Glover Teixeira,Jamahal Hill,F2,LHW,Brazil,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Deiveson Figueiredo,Brandon Moreno,F2,FYW,Brazil,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Gilbert Burns,Neil Magny,F1,WW,Brazil,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Paul Craig,Johnny Walker,F2,LHW,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Mauricia Hua,Ihor Potieria,F2,LHW,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Gregory Rodrigues,Brunno Ferreira ,F2,MW,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Thiago Moises,Melquizael Costa,F1,LW,Brazil,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Gabriel Bonfim,Mounir Lazzez,F1,WW,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
Shamil Abdurakhimov,Jailton Almeida,F2,HW,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Luan Lacerda,Cody Stamann,F2,BW,Brazil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ismael Bonfim ,Terrance McKinney,F1,LW,Brazil,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Warlley Alves,Nicholas Dalby,F2,WW,Brazil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
Saimon Oliveira ,Daniel Marcos,F2,BW,Brazil,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sean Strickland ,Nassourdine Imavov,F1,MW,Apex,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0
Dan Ige,Damon Jackson,F1,FW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
Punahele Soriano,Roman Kopylov,F2,MW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
Umar Nurmagomedov,Raoni Barcelos,F1,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Javid Basharat,Mateus Mendonca,F1,BW,Apex,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Claudio Ribeiro,Abdul Razak Alhassan,F2,MW,Apex,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Mateusz Rebecki,Nick Fiore,F1,LW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Allan Nascimento,Carlos Hernandez,F1,FYW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Dan Argueta,Nick Aguirre,F1,FW,Apex,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Charles Johnson,Jimmy Flick,F1,FYW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Jared Cannonier,Sean Strickland,F1,MW,Apex,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
Arman tsarukyan,Damir Ismagulov,F1,LW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Amir Albazi,Alessandro Costa,F1,FYW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Alex Caceres ,Julian Erosa,F1,FW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Drew Dober,Bobby Green,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1
Cody Brundage,Michal Oleksiejczuk,F2,MW,Apex,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Jake Matthews,Matthew Semelsberger,F2,WW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Said Nurmagomedov,Saidyokub Kakhramonov,F1,BW,Apex,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
Rafa Garcia,Maheshate,F1,LW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Bryan Battle,Rinat Fakhretdinov,F2,WW,Apex,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
David Dvorak,Manel Kape,F2,FYW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Sergey Morozov,Journey Newson,F1,BW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jan Blachowicz ,Magomed Ankalaev,Draw,LHW,"Las Vegas, NV",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Paddy Pimblett,Jared Gordon,F1,LW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Santiago Ponzinibbio,Alex Morono,F1,WW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
Darren Till,Dricus Du Plessis,F2,MW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
Bryce Mitchell,Ilia Topuria,F2,FW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Raul Rosas,Jay Perrin,F1,BW,"Las Vegas, NV",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Jairzinho Rozenstruik,Chris Daukaus,F1,HW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Edmen Shahbazyan,Dalcha Lungiambula,F1,MW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Chris Curtis,Joaquin Buckley,F1,MW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
Billy Quarantillo,Alexander Hernandez,F1,FW,"Las Vegas, NV",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
TJ Brown,Erik Silva,F1,FW,"Las Vegas, NV",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Cory Saaiman,Steven Koslow,F1,BW,"Las Vegas, NV",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Stephen Thompson,Kevin Holland,F1,WW,"Orlando, FL",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1
Brian Barbarena,Rafael Dos Anjos,F2,WW,"Orlando, FL",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Matheus Nicolau,Matt Schnell,F1,FYW,"Orlando, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Tai Tuivasa,Sergei Pavlovich,F2,HW,"Orlando, FL",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Jack Hermansson,Roman Dolidze ,F2,MW,"Orlando, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
Eryk Anders,Kyle Daukaus,F1,MW,"Orlando, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
Niko Price,Phil Rowe,F2,WW,"Orlando, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
Clay Guida,Scott Holtzman,F1,LW,"Orlando, FL",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
Michael Johnson,Marc Diakiese,F1,LW,"Orlando, FL",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Darren Elkins,Jonathan Pearce,F2,FW,"Orlando, FL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
Natan Levy,Genaro Valdez,F1,LW,"Orlando, FL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marcelo Rojo,Francis Marshall,F2,FW,"Orlando, FL",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
Kennedy Nzechukwu,Ion Cutelaba,F1,LHW,Apex,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Chase Sherman,Waldo Cortes-Acosta,F2,HW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Andre Fialho,Muslim Salikhov,F2,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Jack Maddalena,Danny Roberts,F1,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Charles Johnson,Zhalgas Zhumagulov,F1,FYW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Vince Morales,Miles Johns,F2,BW,Apex,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ricky Turcios,Kevin Natividad,F1,BW,Apex,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Brady Hiestand,Fernando Garcia,F1,BW,Apex,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Israel Adesanya,Alex Pereira,F2,MW,"MSG, NY",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
Dustin Poirer ,Michael Chandler,F1,LW,"MSG, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Frankie Edgar,Chris Gutierrez,F2,BW,"MSG, NY",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Dan Hooker,Claudio Puelles,F1,LW,"MSG, NY",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Brad Riddell,Renato Moicano,F2,LW,"MSG, NY",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Dominick Reyes,Ryan Spann,F2,LHW,"MSG, NY",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Andre Petroski,Wellington Turman,F1,MW,"MSG, NY",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Matt Frevola,Ottman Azaitar,F1,LW,"MSG, NY",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mike Trizano,Seung-Woo Choi,F1,FW,"MSG, NY",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Julio Arce,Montel Jackson,F2,BW,"MSG, NY",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Carlos Ulberg,Nicolae Negumereanu,F1,LHW,"MSG, NY",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Neil Magny,Daniel Rodriguez,F1,WW,Apex,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
Derrick Minner,S. Nuerdanbieke,F2,FW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Tagir Ulanbekov,Nate Maness,F1,FYW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Grant Dawson,Mark Madsen,F1,LW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Mario Bautista,Benito Lopez,F1,BW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Liudvik Sholinian,Johnny Munoz,F2,BW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Carlos Candelario,Josh Hadley,F2,FYW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
Calvin Kattar,Arnold Allen,F2,FW,Apex,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Tim Means,Max Griffin ,F2,WW,Apex,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Waldo Cortes-Acosta,Jared Vanderaa,F1,HW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Josh Fremd ,Tresean Gore,F2,MW,Apex,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Dustin Jacoby,Khalil Rountree,F2,LHW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0
Phil Hawes,Roman Dolidze ,F2,MW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Andre Arlovski,Marcos de Lima,F2,HW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
Joseph Holmes,Jun-Yong Park,F2,MW,Apex,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Chase Hooper,Steve Garcia,F2,FW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
