Name,Height,Reach,Stance
Turrell Galloway,"5' 3""",--,
Eric Galvan,--,--,
Andre Galvao,"5' 7""",--,Orthodox
Marcos Galvao,"5' 7""",--,Orthodox
Lucas Gamaza,--,--,
Joey Gambino,"5' 7""",--,Orthodox
Manvel Gamburyan,"5' 5""","67.0""",Orthodox
Mateusz Gamrot,"5' 10""","70.0""",Southpaw
Shamil Gamzatov,"6' 2""","76.0""",Orthodox
Ariel Gandulla,"5' 11""",--,Orthodox
Ciryl Gane,"6' 4""","81.0""",Orthodox
Sean Gannon,"6' 3""",--,Southpaw
Eduardo Garagorri,"5' 9""","70.0""",Orthodox
Cody Garbrandt,"5' 8""","65.0""",Orthodox
Leonard Garcia,"5' 10""","68.0""",Orthodox
Edgar Garcia,"5' 10""","71.0""",Orthodox
Alejandro Garcia,"5' 7""",--,
Alex Garcia,"5' 9""","72.0""",Orthodox
Nick Garcia,"5' 4""",--,
Steve Garcia,"6' 0""","75.0""",Southpaw
Elias Garcia,"5' 5""","67.0""",Southpaw
Rafa Garcia,"5' 7""","70.0""",Orthodox
Fernando Garcia,"5' 7""","67.0""",Orthodox
Rulon Gardner,"6' 3""",--,Orthodox
David Gardner,"5' 11""",--,Orthodox
Ian Garry,"6' 3""","74.0""",Orthodox
Pablo Garza,"6' 1""","73.0""",Orthodox
Azamat Gashimov,"5' 6""",--,Orthodox
Brian Gassaway,"6' 1""",--,Orthodox
Kelvin Gastelum,"5' 9""","71.0""",Southpaw
Willie Gates,"5' 8""","72.0""",Orthodox
Melissa Gatto,"5' 5""","69.0""",Orthodox
Louis Gaudinot,"5' 3""","63.0""",Orthodox
Manuel Gaxhja,"5' 8""",--,Switch
Charlene Gellner,"5' 2""",--,
Chad George,"5' 6""","68.0""",Southpaw
Paul Georgieff,"6' 2""",--,Orthodox
Brian Geraghty,"5' 7""",--,Orthodox
Derek Getzel,"6' 0""",--,
Karine Gevorgyan,"5' 4""","63.0""",
Darrel Gholar,"5' 8""",--,Orthodox
Tiki Ghosn,"5' 10""",--,Orthodox
Christos Giagos,"5' 10""","71.0""",Orthodox
Joe Giannetti,"6' 0""","74.0""",Southpaw
Nick Gibbons,"5' 10""",--,
James Giboo,"5' 11""",--,Orthodox
Lance Gibson,"5' 9""",--,Orthodox
Lee Gibson,"5' 7""",--,
Cody Gibson,"5' 10""","71.0""",Orthodox
Chase Gibson,"5' 10""","72.0""",Orthodox
Kenny Giddens,"5' 11""",--,
Thomas Gifford,"6' 1""","75.0""",Orthodox
Joseph Gigliotti,"5' 11""",--,Orthodox
Joey Gilbert,"5' 11""",--,Orthodox
Trevin Giles,"6' 0""","74.0""",Orthodox
Kultar Gill,"6' 0""",--,Orthodox
Jesse Gillespie,--,--,
Gregor Gillespie,"5' 7""","71.0""",Orthodox
Jason Gilliam,"6' 0""",--,Orthodox
Micheal Gillmore,"5' 11""","72.0""",Orthodox
Krishaun Gilmore,--,--,
Alex Gilpin,"5' 7""",--,Orthodox
Bob Gilstrap,"6' 3""",--,Orthodox
Eperaim Ginting,--,--,
Demetrius Gioulacos,"5' 11""",--,
Billy Giovanella,"5' 8""",--,
He-Man Gipson,--,--,
Israel Giron,"5' 8""",--,
Brandon Girtz,"5' 7""",--,
Jason Glaza,"6' 0""",--,
Mike Glenn,--,--,
Ricky Glenn,"6' 0""","70.0""",Southpaw
Mark Godbeer,"6' 4""","77.0""",Orthodox
Clint Godfrey,"5' 6""",--,Southpaw
Loopy Godinez,"5' 2""","61.0""",Orthodox
Jason Godsey,"6' 2""",--,Orthodox
Allan Goes,"6' 0""",--,Orthodox
Billy Goff,--,--,Switch
Amiran Gogoladze,"6' 1""","74.0""",Switch
Jonny Goh,"5' 11""",--,
Hannah Goldy,"5' 4""","61.0""",Orthodox
Marcelo Golm,"6' 3""","75.0""",Orthodox
Denise Gomes,"5' 2""","63.0""",Orthodox
Sergio Gomez,"5' 6""",--,Orthodox
Frank Gomez,"5' 10""","67.0""",Orthodox
Alan Gomez,--,--,
David Gomez,--,--,
Ulysses Gomez,"5' 6""",--,Orthodox
Joey Gomez,"5' 10""","73.0""",Orthodox
Luis Gomez,"5' 7""","68.0""",Orthodox
Joey Gomez,"5' 10""","71.0""",Orthodox
Edson Gomez,"5' 8""","69.0""",Switch
Silvana Gomez Juarez,"5' 3""","65.0""",Orthodox
Takanori Gomi,"5' 7""","70.0""",Southpaw
William Gomis,"6' 0""","73.0""",Southpaw
Akihiro Gono,"5' 7""","68.0""",Switch
Gabriel Gonzaga,"6' 2""","76.0""",Orthodox
Justin Gonzales,"5' 9""","72.0""",Orthodox
Fernando Gonzalez,"5' 9""","68.0""",Southpaw
Nick Gonzalez,"5' 6""",--,Orthodox
Fabian Gonzalez,"5' 10""",--,
Lewis Gonzalez,"5' 10""",--,Orthodox
Jason Gonzalez,"6' 2""","74.0""",Southpaw
Pearl Gonzalez,"5' 4""",--,Orthodox
Jorge Gonzalez,"6' 2""","76.0""",Orthodox
Mikey Gonzalez,"5' 11""","74.0""",Orthodox
Erick Gonzalez,"5' 11""","75.0""",Orthodox
Jennifer Gonzalez,"5' 2""",--,
Kier Gooch,--,--,
Lyman Good,"6' 0""","74.0""",Orthodox
Jared Gooden,"6' 0""","77.0""",Orthodox
Gary Goodridge,"6' 3""",--,Orthodox
Jordan Goodwin,--,--,
Gerard Gordeau,"6' 5""",--,Orthodox
Eddie Gordon,"6' 0""","76.0""",Orthodox
Jared Gordon,"5' 9""","68.0""",Orthodox
Tebaris Gordon,"6' 1""",--,Orthodox
Malcom Gordon,"5' 7""","71.0""",Switch
Tresean Gore,"6' 0""","75.0""",Switch
Alex Gorgees,"6' 2""","74.0""",Switch
Themba Gorimbo,"6' 1""","77.0""",Orthodox
Tim Gorman,"5' 5""",--,Southpaw
Chase Gormley,"6' 3""",--,Orthodox
Jonathan Goulet,"6' 0""","73.0""",Orthodox
Thibault Gouti,"5' 10""","72.0""",Orthodox
Wilson Gouveia,"6' 1""","76.0""",Orthodox
Todd Gouwenberg,"6' 1""",--,Orthodox
Hugo Govea,--,--,
Justin Governale,--,--,
Damian Grabowski,"6' 1""","75.0""",Orthodox
Royce Gracie,"6' 1""",--,Southpaw
Crosley Gracie,"5' 9""",--,Orthodox
Daniel Gracie,"6' 2""",--,Orthodox
Ralph Gracie,"5' 9""",--,Orthodox
Renzo Gracie,"5' 10""",--,Orthodox
Rickson Gracie,"5' 10""",--,Switch
Rodrigo Gracie,"6' 0""",--,Orthodox
Royler Gracie,"5' 8""",--,Southpaw
Ryan Gracie,"5' 9""",--,Orthodox
Ralek Gracie,"6' 2""",--,Orthodox
Rolles Gracie,"6' 4""",--,Orthodox
Cesar Gracie,"5' 10""",--,Orthodox
Roger Gracie,"6' 4""","79.0""",Orthodox
Igor Gracie,"5' 11""",--,
Neiman Gracie,"6' 0""",--,
Kron Gracie,"5' 9""","70.0""",Southpaw
Steven Graham,"6' 1""",--,Orthodox
Scott Graham,"6' 4""",--,Orthodox
Miranda Granger,"5' 7""","68.0""",Orthodox
TJ Grant,"5' 10""","72.0""",Orthodox
Davey Grant,"5' 8""","69.0""",Orthodox
Dwight Grant,"6' 1""","76.0""",Switch
Alexa Grasso,"5' 5""","66.0""",Orthodox
Tony Gravely,"5' 5""","69.0""",Orthodox
Michael Graves,"5' 10""","71.0""",Orthodox
Shelton Graves,"6' 2""","76.0""",Southpaw
James Gray,"5' 9""",--,Orthodox
Kevin Gray,"5' 4""","67.0""",Orthodox
Sam Greco,"6' 2""",--,Orthodox
Bobby Green,"5' 10""","71.0""",Orthodox
Desmond Green,"5' 10""","73.0""",Southpaw
Gabe Green,"5' 10""","73.0""",Switch
Maurice Greene,"6' 7""","80.0""",Orthodox
Matt Grice,"5' 8""","70.0""",Orthodox
Forrest Griffin,"6' 3""","77.0""",Orthodox
Tyson Griffin,"5' 6""","68.0""",Orthodox
Max Griffin,"5' 11""","76.0""",Orthodox
Jordan Griffin,"5' 10""","73.0""",Southpaw
Chad Griggs,"6' 1""","73.0""",Orthodox
Chuck Grigsby,"6' 6""",--,Orthodox
Rodrigo Gripp de Sousa,"5' 11""",--,Orthodox
Maxim Grishin,"6' 3""","78.0""",Orthodox
Josh Grispi,"5' 11""","74.0""",Orthodox
Garrett Gross,"5' 9""",--,Orthodox
Kendall Grove,"6' 6""","79.0""",Orthodox
Neil Grove,"6' 6""",--,Orthodox
Chris Gruetzemacher,"5' 8""","68.0""",Orthodox
Vik Grujic,"5' 11""","73.0""",Orthodox
Mike Grundy,"5' 7""","72.0""",Orthodox
Wang Guan,"5' 9""","71.0""",Orthodox
Nandor Guelmino,"6' 3""",--,
Fabricio Guerreiro,"5' 10""",--,
Shannon Gugerty,"5' 10""","71.0""",Orthodox
Clay Guida,"5' 7""","70.0""",Orthodox
Jason Guida,"5' 10""",--,
Melvin Guillard,"5' 9""","71.0""",Orthodox
Chris Guillen,"6' 0""",--,Orthodox
Marcelo Guimaraes,"6' 0""","73.0""",Orthodox
Leonardo Guimaraes,"6' 0""",--,Orthodox
Brad Gumm,"5' 11""",--,Orthodox
John Gunderson,"5' 9""","69.0""",Orthodox
John Gunther,"5' 9""","72.0""",Orthodox
Jorge Gurgel,"5' 7""","69.0""",Orthodox
Fabio Gurgel,"6' 0""",--,Orthodox
Gugun Gusman,"5' 7""","68.0""",Orthodox
Andre Gusmao,"6' 0""",--,Orthodox
Alexander Gustafsson,"6' 5""","79.0""",Orthodox
Justin Guthrie,"6' 1""",--,
Horacio Gutierrez,"5' 10""",--,
Chris Gutierrez,"5' 9""","67.0""",Orthodox
Mando Gutierrez,"5' 6""","70.0""",Southpaw
Mike Guymon,"6' 0""","74.0""",Orthodox
Chelsea Hackett,"5' 4""","66.0""",Switch
Keith Hackney,"5' 11""",--,Sideways
Jake Hadley,"5' 7""","70.0""",Southpaw
Steve Hadsel,"5' 8""",--,
Damir Hadzovic,"5' 9""","70.0""",Orthodox
Tim Hague,"6' 4""","76.0""",Orthodox
Yazan Hajeh,"5' 9""",--,Orthodox
Stoney Hale,"6' 0""",--,
Kevin Haley,"6' 2""",--,
Mark Hall,"6' 0""",--,Orthodox
Uriah Hall,"6' 0""","79.0""",Orthodox
Ryan Hall,"5' 10""","70.0""",Southpaw
Dennis Hallman,"5' 9""","72.0""",Orthodox
Piotr Hallmann,"5' 9""","71.0""",Orthodox
Tony Halme,"6' 3""",--,Orthodox
Brandon Halsey,"6' 0""",--,
John Halverson,"5' 9""",--,Southpaw
Seo Hee Ham,"5' 2""","62.0""",Southpaw
Frank Hamaker,--,--,
Kazuhiro Hamanaka,"6' 0""",--,Southpaw
Matt Hamill,"6' 1""","76.0""",Orthodox
Jeremy Hamilton,--,--,
Anthony Hamilton,"6' 5""","76.0""",Orthodox
CJ Hamilton,"5' 7""","68.0""",Switch
Jared Hamman,"6' 3""","75.0""",Orthodox
James Hammortree,"6' 3""",--,Orthodox
Dean Hancock,--,--,
Joachim Hansen,"5' 7""",--,Southpaw
Kay Hansen,"5' 2""","63.0""",Orthodox
Nasrat Haqparast,"5' 10""","72.0""",Southpaw
Shin Haraguchi,--,--,
Janay Harding,--,--,
Antoni Hardonk,"6' 4""","78.0""",Orthodox
Dan Hardy,"6' 0""","74.0""",Orthodox
Veronica Hardy,"5' 4""","64.0""",Southpaw
Greg Hardy,"6' 5""","80.0""",Orthodox
Baru Harn,--,--,
Scott Harper,"6' 0""",--,Orthodox
Gerry Harris,"6' 8""",--,Orthodox
Gerald Harris,"5' 11""","77.0""",Southpaw
Phil Harris,"5' 4""","65.0""",Orthodox
Walt Harris,"6' 5""","77.0""",Southpaw
Dhafir Harris,--,--,
Trevor Harris,"5' 6""",--,
Carlston Harris,"6' 0""","76.0""",Orthodox
Collin Hart,"6' 1""",--,Orthodox
Dale Hartt,"5' 10""","69.0""",Orthodox
Luke Hartwig,--,--,
Clay Harvison,"6' 1""","74.0""",Orthodox
Hidehiko Hasegawa,"5' 9""",--,
Chris Haseman,"5' 11""",--,Orthodox
Takayo Hashi,"5' 4""",--,Orthodox
Tomohiko Hashimoto,"6' 0""",--,Orthodox
Justin Haskins,"5' 10""",--,Orthodox
Hayder Hassan,"5' 10""",--,
Ahmad Hassanzada,"6' 1""","75.0""",Orthodox
Daiki Hata,"5' 6""",--,Orthodox
John Hathaway,"6' 1""","75.0""",Orthodox
Phil Hawes,"6' 0""","77.0""",Orthodox
Justin Hawes,"5' 11""",--,
Chris Hawk,"6' 1""",--,
Del Hawkins,"5' 5""",--,Orthodox
Tommy Hayden,"5' 9""",--,Southpaw
Mike Hayes,"6' 4""",--,Orthodox
Ryan Hayes,--,--,
Gerric Hayes,"5' 10""",--,
Josh Haynes,"5' 9""",--,Orthodox
Dustin Hazelett,"6' 1""","76.0""",Orthodox
James Head,"6' 1""","73.0""",Orthodox
Pat Healy,"6' 0""","72.0""",Orthodox
Ryan Healy,"6' 1""",--,Orthodox
Spencer Hearns,"5' 11""",--,
David Heath,"5' 11""","72.0""",Orthodox
Chris Heatherly,"5' 9""",--,Orthodox
Jake Hecht,"6' 0""","73.0""",Orthodox
Nick Hein,"5' 6""","66.0""",Southpaw
Ian Heinisch,"5' 11""","72.0""",Orthodox
Marcin Held,"5' 9""","71.0""",Orthodox
Delson Heleno,"5' 11""",--,Orthodox
Matt Helm,--,--,
Elisha Helsper,"5' 6""",--,Orthodox
Dan Henderson,"5' 11""","74.0""",Orthodox
Benson Henderson,"5' 9""","70.0""",Southpaw
Ron Henderson,"5' 10""",--,
Josh Hendricks,"6' 2""",--,Southpaw
Johny Hendricks,"5' 9""","69.0""",Southpaw
Cory Hendricks,"6' 3""",--,
Luis Henrique,"6' 2""","74.0""",Orthodox
Jose Henrique,"6' 3""","79.0""",Orthodox
Diego Henrique da Silva,"6' 2""",--,Orthodox
Danny Henry,"6' 0""","73.0""",Orthodox
Victor Henry,"5' 7""","68.0""",Switch
TJ Hepburn,"5' 7""",--,
Jai Herbert,"6' 1""","77.0""",Orthodox
Ed Herman,"6' 1""","77.0""",Orthodox
Dave Herman,"6' 4""","77.0""",Orthodox
Jack Hermansson,"6' 1""","77.0""",Orthodox
Noe Hernandez,--,--,Orthodox
Joe Hernandez,--,--,
Ramiro Hernandez,"5' 9""",--,Orthodox
Alexander Hernandez,"5' 9""","72.0""",Orthodox
Anthony Hernandez,"6' 0""","75.0""",Orthodox
Nohelin Hernandez,"5' 10""","71.0""",Orthodox
Carlos Hernandez,"5' 8""","67.0""",Orthodox
Paul Herrera,"5' 10""",--,Orthodox
Chris Herrera,"5' 10""",--,
Geane Herrera,"5' 5""","66.0""",Orthodox
Alvaro Herrera Mendoza,"6' 0""","74.0""",Orthodox
Felice Herrig,"5' 4""","65.0""",Orthodox
Heath Herring,"6' 4""","78.0""",Orthodox
Jon Hess,"6' 7""",--,
Clint Hester,"6' 2""","77.0""",Orthodox
Brandon Hester,"6' 1""",--,
Jimy Hettes,"5' 9""","71.0""",Southpaw
Conor Heun,"5' 10""",--,Orthodox
Marcus Hicks,"5' 6""","64.0""",Southpaw
Jay Hieron,"6' 0""","75.0""",Orthodox
Brady Hiestand,"5' 8""","71.0""",Orthodox
Lee Higgins,--,--,
Jason High,"5' 8""","73.0""",Southpaw
Richie Hightower,"5' 8""",--,Orthodox
Alex Higley,"5' 10""",--,
Corey Hill,"6' 4""","80.0""",Orthodox
Isaiah Hill,"5' 10""",--,
Angela Hill,"5' 3""","64.0""",Orthodox
Tyler Hill,"6' 3""",--,Switch
Jamahal Hill,"6' 4""","79.0""",Southpaw
Kailan Hill,"6' 1""","77.0""",Southpaw
Branden Lee Hinkle,"6' 3""",--,Orthodox
Hatsu Hioki,"5' 11""","73.0""",Orthodox
Alan Hiro,"5' 5""",--,Orthodox
Kuniyoshi Hironaka,"5' 10""","70.0""",Orthodox
Mizuto Hirota,"5' 7""","67.0""",Orthodox
Yuji Hisamatsu,"5' 10""",--,
Kwan Ho Kwak,"5' 5""",--,Switch
Matt Hobar,"5' 10""","70.0""",Southpaw
Bobby Hoffman,"6' 2""",--,Orthodox
Sam Hoger,"6' 2""",--,Orthodox
Andrew Holbrook,"5' 11""","70.0""",Southpaw
Sean Holden,"5' 10""",--,
Chris Holdsworth,"5' 11""",--,
Kevin Holland,"6' 3""","81.0""",Orthodox
Roger Hollett,"5' 11""",--,Orthodox
Max Holloway,"5' 11""","69.0""",Orthodox
Gabrielle Holloway,"5' 3""",--,
Jeremie Holloway,"6' 0""",--,
Holly Holm,"5' 8""","69.0""",Southpaw
Rex Holman,"6' 3""",--,Southpaw
Joseph Holmes,"6' 4""","80.0""",Orthodox
Kurt Holobaugh,"5' 11""","70.0""",Orthodox
Paddy Holohan,"5' 10""","69.0""",Orthodox
Ben Holscher,"5' 11""",--,
Mark Holst,"6' 0""",--,Orthodox
Scott Holtzman,"5' 9""","69.0""",Orthodox
Sabah Homasi,"6' 0""","72.0""",Orthodox
Mark Hominick,"5' 8""","68.0""",Orthodox
Barb Honchak,"5' 4""","65.0""",Orthodox
Chris Honeycutt,"5' 10""","73.0""",
JunYoung Hong,"5' 8""","69.0""",Orthodox
Sung Chan Hong,--,--,
Satoshi Honma,"6' 1""",--,Orthodox
David Hood,"6' 0""",--,
Lorenzo Hood,"6' 3""","80.0""",Southpaw
Dan Hooker,"6' 0""","75.0""",Switch
Chase Hooper,"6' 1""","74.0""",Southpaw
Darrell Horcher,"5' 10""","70.0""",Southpaw
Moti Horenstein,"6' 4""",--,Orthodox
Yoshinori Horie,"5' 8""","70.0""",Orthodox
Kyoji Horiguchi,"5' 5""","66.0""",Orthodox
Yuma Horiuchi,"5' 6""","67.0""",Switch
Jeremy Horn,"6' 1""","74.0""",Orthodox
Matt Horning,"5' 4""",--,
Chris Horodecki,"5' 9""","69.0""",Orthodox
Jamey-Lyn Horth,"5' 7""",--,
Matt Horwich,"6' 1""",--,Orthodox
John Hosman,"5' 10""",--,Southpaw
Saeed Hosseini,--,--,
Jeff Hougland,"5' 7""","68.0""",Orthodox
Trey Houston,"5' 11""",--,
Jamie Houston,--,--,
Brian Houston,"6' 2""",--,Orthodox
Harold Howard,"6' 2""",--,Orthodox
John Howard,"5' 7""","72.0""",Orthodox
Shane Howell,"5' 8""",--,Orthodox
Hu Yaozong,"6' 3""","72.0""",Orthodox
Carlos Huachin,"5' 4""","67.0""",Southpaw
Brady Huang,"5' 9""","69.0""",Orthodox
Austin Hubbard,"5' 10""","71.0""",Orthodox
Collin Huckbody,"6' 3""","76.0""",Orthodox
Alex Huddleston,"6' 7""",--,
Roger Huerta,"5' 9""","70.0""",Orthodox
Casey Huffman,"6' 3""",--,
Matt Hughes,"5' 9""","73.0""",Switch
Mark Hughes,"5' 9""",--,Southpaw
Jeff Hughes,"6' 2""","77.0""",Orthodox
Sam Hughes,"5' 5""","64.0""",Orthodox
David Hulett,"5' 10""",--,
Bryan Humes,--,--,
Abongo Humphrey,"5' 11""",--,Orthodox
Harry Hunsucker,"6' 2""","75.0""",Orthodox
Mark Hunt,"5' 10""","72.0""",Orthodox
Alex Hunter,"5' 9""",--,Orthodox
Adam Hunter,"6' 1""",--,Orthodox
Joe Hurley,"5' 8""",--,
Solomon Hutcherson,"5' 11""",--,Southpaw
Young Hwang,"5' 9""",--,
Al Iaquinta,"5' 10""","70.0""",Orthodox
Khadis Ibragimov,"6' 3""","78.0""",Orthodox
Minoki Ichihara,"5' 7""",--,Orthodox
Dan Ige,"5' 7""","71.0""",Orthodox
Valeri Ignatov,"5' 9""",--,Orthodox
Sergey Ignatov,"5' 9""",--,Orthodox
Fabiano Iha,"5' 8""",--,Orthodox
Seichi Ikemoto,"5' 11""",--,Orthodox
Mikhail Iloukhine,"5' 9""",--,Orthodox
Zelim Imadaev,"6' 0""","76.0""",Orthodox
Yusuke Imamura,"5' 8""",--,Orthodox
Masakazu Imanari,"5' 4""",--,Southpaw
Nassourdine Imavov,"6' 3""","75.0""",Orthodox
Brad Imes,"6' 7""",--,Orthodox
Chris Indich,"5' 10""",--,
Chris Inman,--,--,
Guto Inocente,"6' 3""",--,Orthodox
Enson Inoue,"5' 10""",--,Orthodox
Egan Inoue,"5' 9""",--,Southpaw
Katsuya Inoue,"5' 9""",--,Southpaw
Takeshi Inoue,"5' 8""",--,
Naoki Inoue,"5' 9""","71.0""",Orthodox
Inoue Mizuki,"5' 3""","65.0""",Orthodox
Jorge Interiano,"6' 1""",--,
Jason Ireland,"5' 9""",--,Southpaw
James Irvin,"6' 2""","75.0""",Orthodox
Eric Irvin,"5' 8""",--,
Mitsuhiro Ishida,"5' 6""",--,Southpaw
Teruto Ishihara,"5' 7""","69.0""",Southpaw
Satoshi Ishii,"5' 11""",--,Orthodox
Yuki Ishikawa,"5' 11""",--,Orthodox
Eiji Ishikawa,"5' 10""",--,
Tokimitsu Ishizawa,"6' 0""",--,Orthodox
Damir Ismagulov,"5' 10""","74.0""",Orthodox
Wallid Ismail,"5' 7""",--,Orthodox
Leandro Issa,"5' 7""","69.0""",Orthodox
Blagoy Ivanov,"5' 11""","73.0""",Southpaw
Anthony Ivy,"6' 2""","74.0""",Orthodox
Tomomi Iwama,"5' 3""",--,Orthodox
Tatsuya Iwasaki,"5' 9""",--,Orthodox
Yoislandy Izquierdo,"5' 11""",--,Southpaw
Hiroshi Izumi,--,--,Orthodox
Yves Jabouin,"5' 7""","68.0""",Orthodox
Kevin Jackson,"5' 10""",--,Switch
Eugene Jackson,"5' 8""",--,Orthodox
Quinton Jackson,"6' 1""","73.0""",Orthodox
Jeremy Jackson,"5' 10""",--,Orthodox
Damon Jackson,"5' 11""","71.0""",Switch
Kenyon Jackson,"6' 0""",--,
Mike Jackson,"6' 2""","74.0""",Orthodox
Jason Jackson,"6' 1""","78.0""",Orthodox
Montel Jackson,"5' 10""","75.0""",Southpaw
Eric Jacob,--,--,
Richard Jacobi,"6' 4""","75.0""",Orthodox
Dustin Jacoby,"6' 3""","76.0""",Orthodox
Justin James,"5' 10""",--,Orthodox
Nate James,"6' 0""",--,
Virna Jandiroba,"5' 3""","64.0""",Orthodox
Ryan Janes,"6' 3""","76.0""",Orthodox
Josh Janousek,"5' 11""",--,Orthodox
Dave Jansen,"5' 9""","73.0""",Orthodox
Jaime Jara,"6' 1""",--,Southpaw
Gigo Jara,"5' 9""",--,
Keith Jardine,"6' 2""","76.0""",Orthodox
Brock Jardine,"5' 11""",--,Orthodox
Josh Jarvis,--,--,
Rony Jason,"5' 7""","73.0""",Orthodox
Jasmine Jasudavicius,"5' 7""","68.0""",Orthodox
Louis Jauregui,"5' 7""",--,
Yazmin Jauregui,"5' 3""","64.0""",Orthodox
Justin Jaynes,"5' 7""","68.0""",Orthodox
Joanna Jedrzejczyk,"5' 6""","65.0""",Orthodox
Aaron Jeffery,"6' 2""","73.0""",Orthodox
Trent Jenkins,"6' 2""",--,
Bubba Jenkins,"5' 7""",--,
Adrienna Jenkins,"5' 8""",--,
Brandon Jenkins,"6' 0""","71.0""",Switch
Jack Jenkins,"5' 7""","68.0""",Switch
Steve Jennum,"5' 10""",--,Orthodox
Ryan Jensen,"6' 1""","76.0""",Orthodox
Kyle Jensen,"5' 9""",--,Orthodox
Chan-Mi Jeon,"5' 5""",--,Orthodox
Maciej Jewtuszko,"6' 0""",--,Southpaw
Ronald Jhun,"5' 11""",--,Orthodox
Ji Niushiyue,--,--,
Baergeng Jieleyisi,--,--,
Gilbert Jimenez,--,--,
Art Jimmerson,"6' 1""",--,Orthodox
Ryan Jimmo,"6' 1""","73.0""",Orthodox
Jinensibieke Asikeerbai,"5' 6""","69.0""",Orthodox
Sung Bin Jo,"6' 0""","72.0""",Orthodox
Carls John De Tomas,"5' 5""","71.0""",Southpaw
Phil Johns,"5' 2""",--,Southpaw
Brett Johns,"5' 7""","71.0""",Orthodox
Miles Johns,"5' 7""","66.0""",Orthodox
Anthony Johnson,"6' 2""","78.0""",Orthodox
DaMarques Johnson,"6' 1""","75.0""",Orthodox
Devin Johnson,--,--,
Travis Johnson,--,--,
Ricky Johnson,"5' 8""",--,Orthodox
Tony Johnson,"6' 2""","76.0""",Orthodox
Lavar Johnson,"6' 4""","82.0""",Orthodox
Demetrious Johnson,"5' 3""","66.0""",Orthodox
Michael Johnson,"5' 10""","73.0""",Southpaw
Deshaun Johnson,--,--,
Kajan Johnson,"5' 11""","75.0""",Orthodox
Dashon Johnson,"5' 7""",--,Orthodox
Timothy Johnson,"6' 3""","77.0""",Southpaw
Tony Johnson,"6' 1""",--,
Jordan Johnson,"6' 2""","79.0""",Orthodox
Taylor Johnson,"6' 0""","74.0""",Switch
Chad Johnson,"6' 2""","80.0""",Orthodox
Jose Johnson,"6' 0""","71.0""",Orthodox
Charles Johnson,"5' 9""","70.0""",Switch
Brian Johnston,"6' 3""",--,Orthodox
Liana Jojua,"5' 4""","62.0""",Orthodox
Daniel Jolly,"6' 1""","75.0""",Orthodox
Paul Jones,"5' 9""",--,Orthodox
Jon Jones,"6' 4""","84.0""",Orthodox
Nathan Jones,"6' 11""",--,Orthodox
Marcus Jones,"6' 6""",--,Orthodox
Carlton Jones,"6' 1""",--,Orthodox
Jesse Jones,"5' 9""",--,
Tito Jones,"5' 8""",--,Southpaw
Roy Jones,--,--,
Justin Jones,"5' 11""",--,Orthodox
Ben Jones,--,--,
Victor Jones,--,--,
Chris Jones,"5' 9""",--,
Roshaun Jones,"5' 8""",--,
Jamelle Jones,"6' 0""","75.0""",Orthodox
Antonio Jones,"5' 11""",--,Orthodox
Trevin Jones,"5' 7""","70.0""",Southpaw
Mason Jones,"5' 10""","74.0""",Orthodox
Jocelyn Jones-Lybarger,"5' 7""","64.0""",Orthodox
Kevin Jordan,"6' 3""",--,Orthodox
Joe Jordan,"5' 6""",--,Orthodox
Shawn Jordan,"6' 0""","75.0""",Southpaw
Ivan Jorge,"5' 9""","73.0""",Orthodox
Scott Jorgensen,"5' 5""","66.0""",Orthodox
Gareth Joseph,--,--,
Dwight Joseph,"5' 6""",--,Switch
Jeff Joslin,"6' 0""",--,Orthodox
Krzysztof Jotko,"6' 1""","77.0""",Southpaw
Alan Jouban,"6' 0""","73.0""",Southpaw
Charles Jourdain,"5' 9""","69.0""",Switch
Mike Joy,"5' 6""",--,Southpaw
Dustin Joynson,"6' 6""","78.0""",Orthodox
Tony Juarez,--,--,
Jesse Juarez,"6' 1""",--,Orthodox
Anshul Jubli,"6' 0""","69.0""",Switch
Steve Judson,"5' 11""",--,Orthodox
Luke Jumeau,"5' 11""","72.0""",Orthodox
Bu-Kyung Jung,"5' 7""",--,Orthodox
Chan Sung Jung,"5' 7""","72.0""",Orthodox
Young Sam Jung,"5' 8""",--,Orthodox
Da Woon Jung,"6' 4""","78.0""",Orthodox
Scott Junk,"6' 1""",--,Orthodox
Myles Jury,"5' 10""","73.0""",Orthodox
Cristiane Justino,"5' 8""","68.0""",Orthodox
Patrick Kaase,"5' 9""",--,
Emily Kagan,"5' 3""",--,
Oron Kahlon,"5' 8""","70.0""",Orthodox
Sirwan Kakai,"5' 5""",--,Orthodox
Saidyokub Kakhramonov,"5' 8""","69.0""",Orthodox
Geza Kalman,"6' 1""",--,
Bryson Kamaka,"5' 11""",--,Orthodox
Kai Kamaka,"5' 7""","69.0""",Orthodox
Shuya Kamikubo,--,--,
Martin Kampmann,"6' 0""","72.0""",Orthodox
Kouya Kanda,--,--,
Bharat Kandare,"5' 7""","72.0""",Orthodox
Hiromitsu Kanehara,"5' 10""",--,Orthodox
Masanori Kanehara,"5' 7""","67.0""",Orthodox
Ken Kaneko,"6' 0""",--,Orthodox
Denis Kang,"5' 11""","77.0""",Orthodox
KyungHo Kang,"5' 9""","73.0""",Orthodox
Manel Kape,"5' 5""","68.0""",Southpaw
David Kaplan,"5' 7""",--,Orthodox
Kai Kara-France,"5' 4""","69.0""",Orthodox
