Name,Weight Class,Height,Reach,Stance,Total Fights,Wins,Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,Sig Strikes Absorbed per Minute,KD/Min,Knockdowns Suffered per Minute,Cntrl Proportion,Time Controlled,TDL/Min,Takedowns Suffered per Minute,TDA/Min,Takedowns Faced per Minute,TD Accuracy,Opp TD Accuracy,Head Strikes Per Minute,Body Strikes Per Minute,Leg Strikes Per Minute,Headstrikes Suffered per Minute,Bodystrikes Suffered per Minute,Legstrikes Suffered per Minute,,,,,,Decision Losses,Decision Wins,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins
Joe Pyfer,MW,"6' 2""","75.0""",Orthodox,2,2,0,9.628,3.907,2.930,0.140,0.000,0.044,0,0.000,0.000,0.000,0.000,No TD Att,No TD Att,2.512,1.256,0.140,0.698,0.558,1.674,,,,,,,0,2,0,0,0
Ignacio Bahamondes,LW,"6' 3""","75.0""",Orthodox,4,3,1,17.355,7.811,4.754,0.018,0.000,0.072,137,0.000,0.018,0.071,0.300,0,0.058823529,4.065,1.909,1.838,3.128,0.954,0.672,,,,,,1,1,1,0,0,1
Trey Ogden,LW,"5' 11""","72.0""",Orthodox,3,1,2,10.222,3.422,4.889,0.000,0.000,0.059,317,0.044,0.000,0.311,0.067,0.142857143,0,1.244,0.889,1.289,1.178,1.378,2.333,,,,,,2,1,0,0,0,0
Shayilan Nuerdanbieke,FW,"5' 8""","69.0""",Orthodox,5,3,2,9.571,2.282,2.939,0.058,0.019,0.487,298,0.193,0.058,0.580,0.097,0.333333333,0.6,1.914,0.174,0.193,1.818,0.464,0.657,,,,,,1,2,1,1,0,0
Steve Garcia,LW,"6' 0""","75.0""",Southpaw,4,3,1,15.181,5.717,2.760,0.263,0.329,0.462,222,0.197,0.066,0.329,0.197,0.6,0.333333333,4.600,0.789,0.329,2.300,0.394,0.066,,,,,,,0,3,1,0,0
Marlon Vera,BW,"5' 8""","70.0""",Switch,5,4,1,10.269,4.900,6.950,0.073,0.000,0.080,890,0.021,0.104,0.031,0.333,0.666666667,0.3125,2.913,1.020,0.968,4.526,1.425,0.999,,,,,,1,2,2,0,0,0
Cory Sandhagen,BW,"5' 11""","70.0""",Switch,5,3,2,14.895,5.457,3.907,0.010,0.010,0.118,679,0.052,0.042,0.346,0.251,0.151515152,0.166666667,3.928,0.744,0.786,2.346,0.660,0.901,,,,,,2,1,2,0,0,0
Nate Landwehr,FW,"5' 9""","72.0""",Orthodox,3,2,1,17.001,6.530,5.335,0.000,0.080,0.218,74,0.159,0.040,0.239,0.239,0.666666667,0.166666667,4.539,0.796,1.194,4.021,1.075,0.239,,,,,,,1,0,1,0,1
Austin Lingo ,FW,,,,2,1,1,14.266,5.913,5.293,0.041,0.000,0.157,93,0.041,0.083,0.083,0.827,0.5,0.1,4.507,1.116,0.289,3.432,0.703,1.158,,,,,,,1,0,0,1,0
Chidi Njokuani,MW,"6' 3""","80.0""",Orthodox,4,2,2,7.844,4.111,3.771,0.075,0.038,0.097,509,0.000,0.189,0.000,0.490,No TD Att,0.384615385,1.622,1.961,0.528,2.263,0.603,0.905,,,,,,1,0,2,1,0,0
Albert Duraev,MW,"5' 11""","75.0""",Orthodox,3,2,1,12.100,3.150,2.725,0.000,0.075,0.285,47,0.125,0.025,0.525,0.050,0.238095238,0.5,1.950,0.275,0.925,1.575,0.825,0.325,,,,,,,2,0,1,0,0
