Name,Weight Class,Height,Reach,Stance,Total Fights,Wins,Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,Sig Strikes Absorbed per Minute,KD/Min,Knockdowns Suffered per Minute,Cntrl Proportion,Time Controlled,TDL/Min,Takedowns Suffered per Minute,TDA/Min,Takedowns Faced per Minute,TD Accuracy,Opp TD Accuracy,Head Strikes Per Minute,Body Strikes Per Minute,Leg Strikes Per Minute,Headstrikes Suffered per Minute,Bodystrikes Suffered per Minute,Legstrikes Suffered per Minute,,,,,,Decision Losses,Decision Wins,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins
Tatsuro Taira,FLW,"5' 7""","70.0""",Orthodox,3,3,0,6.387,2.792,1.047,0.035,0.000,0.596,267,0.175,0.070,0.489,0.175,0.357142857,0.4,2.094,0.349,0.349,0.663,0.314,0.070,,,,,,,1,0,0,0,2
Jesus Aguilar,FLW,"5' 4""","62.0""",Orthodox,1,0,1,0.462,0.462,0.231,0.000,0.000,0.088,229,0.000,0.231,0.000,0.231,No TD Att,1,0.000,0.231,0.231,0.231,0.000,0.000,,,,,,,0,0,0,1,0
Glover Teixeira,LHW,"6' 2""","76.0""",Orthodox,3,1,2,8.703,3.631,6.601,0.000,0.000,0.321,490,0.156,0.000,0.695,0.000,0.225,No TD Att,2.901,0.643,0.087,5.316,1.042,0.243,,,,,,1,0,0,0,1,1
Jamahal Hill,LHW,"6' 4""","79.0""",Southpaw,5,4,1,13.543,6.886,3.505,0.041,0.000,0.121,585,0.000,0.166,0.000,0.809,No TD Att,0.205128205,5.289,1.182,0.415,2.157,0.850,0.498,,,,,,,1,3,0,1,0
Deiveson Figueiredo,FLW,"5' 5""","68.0""",Orthodox,3,1,2,5.168,2.460,3.814,0.057,0.019,0.084,747,0.076,0.114,0.267,0.191,0.285714286,0.6,1.087,0.725,0.648,2.613,0.648,0.553,,,,,,,1,0,1,1,0
Brandon Moreno,FLW,"5' 7""","70.0""",Orthodox,4,3,1,9.448,3.851,2.716,0.030,0.045,0.197,287,0.090,0.075,0.194,0.239,0.461538462,0.3125,2.687,0.687,0.478,1.209,0.612,0.896,,,,,,1,0,2,0,0,1
Neil Magny,WW,"6' 3""","80.0""",Orthodox,6,3,3,8.808,2.332,2.610,0.000,0.012,0.151,1967,0.109,0.097,0.350,0.169,0.310344828,0.571428571,1.559,0.628,0.145,1.692,0.447,0.471,,,,,,1,2,0,0,2,1
Paul Craig,LHW,"6' 3""","76.0""",Orthodox,4,2,2,8.750,2.629,4.655,0.000,0.043,0.009,595,0.043,0.086,0.733,0.129,0.058823529,0.666666667,1.638,0.647,0.345,3.233,0.517,0.905,,,,,,1,0,0,1,0,2
Johnny Walker,LHW,"6' 6""","82.0""",Orthodox,4,2,2,5.828,2.337,1.657,0.030,0.030,0.077,125,0.030,0.030,0.030,0.059,1,0.5,0.769,0.385,1.183,0.473,0.533,0.651,,,,,,1,0,1,1,0,1
Mauricia Hua,LHW,,,,1,0,1,8.571,4.163,5.143,0.000,0.245,0.004,38,0.000,0.000,0.000,0.490,No TD Att,0,0.980,0.735,2.449,3.918,0.735,0.490,,,,,,,0,0,1,0,0
Ihor Potieria,LHW,"6' 3""","75.0""",Southpaw,2,1,1,10.449,4.670,5.383,0.079,0.000,0.050,242,0.000,0.158,0.158,0.237,0,0.666666667,3.325,0.475,0.871,3.799,0.792,0.792,,,,,,,0,1,1,0,0
Gregory Rodrigues,MW,"6' 3""","75.0""",Orthodox,6,4,2,11.517,6.094,5.730,0.077,0.019,0.164,216,0.153,0.000,0.287,0.115,0.533333333,0,4.657,1.226,0.211,3.047,1.495,1.188,,,,,,1,1,3,1,0,0
Brunno Ferreira ,MW,,,,1,1,0,10.909,5.217,4.980,0.237,0.000,0.004,10,0.000,0.000,0.474,0.000,0,No TD Att,3.557,0.474,1.186,3.794,1.186,0.000,,,,,,,0,1,0,0,0
Thiago Moises,LW,"5' 9""","70.0""",Orthodox,5,3,2,8.594,2.697,4.760,0.000,0.000,0.304,495,0.159,0.079,0.317,0.159,0.5,0.5,1.666,0.529,0.502,1.930,1.904,0.926,,,,,,,1,0,1,1,2
Melquizael Costa,LW,"5' 10""","71.0""",Southpaw,1,0,1,7.817,2.532,2.422,0.000,0.000,0.004,331,0.000,0.440,0.000,0.771,No TD Att,0.571428571,0.220,1.101,1.211,1.541,0.771,0.110,,,,,,,0,0,0,1,0
Gabriel Bonfim,WW,"6' 1""","72.0""",Orthodox,1,1,0,26.939,11.020,11.020,0.000,0.000,0.082,0,0.000,0.000,0.000,1.224,No TD Att,0,7.347,2.449,1.224,0.000,4.898,6.122,,,,,,,0,0,0,0,1
Mounir Lazzez,WW,"6' 1""","76.0""",Orthodox,3,1,2,14.946,8.261,6.196,0.000,0.054,0.094,108,0.000,0.054,0.163,0.163,0,0.333333333,5.380,1.522,1.359,2.663,1.250,2.283,,,,,,,1,0,1,1,0
Shamil Abdurakhimov,HW,"6' 3""","76.0""",Orthodox,3,0,3,5.445,2.232,5.662,0.000,0.163,0.000,508,0.000,0.163,0.054,0.272,0,0.6,0.980,0.544,0.708,5.390,0.109,0.163,,,,,,,0,0,3,0,0
Jailton Almeida,LHW,"6' 3""","79.0""",Orthodox,4,4,0,13.004,5.523,0.100,0.000,0.000,0.953,0,0.452,0.000,0.603,0.000,0.75,No TD Att,5.372,0.100,0.050,0.050,0.000,0.050,,,,,,,0,2,0,0,2
Luan Lacerda,BW,"5' 7""","71.0""",Orthodox,1,0,1,12.467,5.333,6.867,0.000,0.000,0.104,0,0.067,0.000,0.267,0.133,0.25,0,2.067,2.933,0.333,4.133,1.933,0.800,,,,,,1,0,0,0,0,0
Cody Stamann,BW,"5' 6""","64.0""",Orthodox,4,2,2,12.749,5.635,5.068,0.031,0.000,0.102,198,0.031,0.189,0.252,0.504,0.125,0.375,3.557,1.637,0.441,2.676,1.983,0.409,,,,,,1,1,1,0,1,0
Ismael Bonfim ,LW,,,,1,1,0,7.277,4.668,1.922,0.137,0.000,0.108,136,0.137,0.000,0.549,0.275,0.25,0,2.197,2.197,0.275,1.373,0.549,0.000,,,,,,,0,1,0,0,0
Terrance McKinney,LW,"5' 10""","73.0""",Switch,5,3,2,12.805,4.950,4.026,0.132,0.132,0.444,75,0.198,0.066,0.396,0.396,0.5,0.166666667,4.224,0.726,0.000,2.376,1.254,0.396,,,,,,,0,1,2,0,2
Warlley Alves,WW,"5' 11""","72.0""",Orthodox,3,1,2,8.664,4.245,6.152,0.043,0.043,0.178,496,0.087,0.000,0.217,0.173,0.4,0,2.383,0.910,0.953,4.029,1.733,0.390,,,,,,1,0,1,1,0,0
Nicolas Dalby,WW,"5' 11""","74.0""",Orthodox,3,2,1,12.400,4.844,2.889,0.000,0.000,0.219,1049,0.022,0.133,0.133,0.422,0.166666667,0.315789474,3.200,1.267,0.378,1.533,0.889,0.467,,,,,,1,2,0,0,0,0
Saimon Oliveira ,BW,,,,1,0,1,10.000,3.151,7.260,0.000,0.137,0.308,0,0.000,0.000,0.685,0.137,0,0,0.959,0.411,1.781,4.247,2.740,0.274,,,,,,,0,0,1,0,0
Daniel Marcos,BW,"5' 7""","69.0""",Orthodox,1,1,0,11.507,7.260,3.151,0.137,0.000,0.000,135,0.000,0.000,0.137,0.685,0,0,4.247,2.740,0.274,0.959,0.411,1.781,,,,,,,0,1,0,0,0
Sean Strickland ,MW,,,,3,2,1,14.812,6.596,4.343,0.000,0.023,0.099,15,0.023,0.000,0.023,0.047,1,0,4.437,1.596,0.563,2.089,1.573,0.657,,,,,,,2,0,1,0,0
Nassourdine Imavov,MW,"6' 3""","75.0""",Orthodox,5,3,2,10.039,4.273,4.177,0.000,0.000,0.128,1164,0.041,0.082,0.137,0.260,0.3,0.315789474,2.903,1.027,0.329,2.575,0.808,0.794,,,,,,2,1,2,0,0,0
Dan Ige,FW,"5' 7""","71.0""",Orthodox,5,2,3,9.399,3.515,3.979,0.031,0.015,0.042,1065,0.031,0.186,0.139,0.341,0.222222222,0.545454545,2.214,0.914,0.387,3.112,0.526,0.341,,,,,,3,0,2,0,0,0
Damon Jackson,FW,"5' 11""","71.0""",Switch,5,4,1,8.049,3.036,2.357,0.000,0.020,0.539,260,0.220,0.080,0.419,0.160,0.523809524,0.5,2.217,0.619,0.200,1.458,0.499,0.399,,,,,,,2,1,1,0,1
Punahele Soriano,MW,"5' 11""","72.0""",Southpaw,5,2,3,9.365,4.055,4.899,0.062,0.000,0.057,638,0.000,0.288,0.103,0.412,0,0.7,2.923,1.050,0.082,2.943,1.358,0.597,,,,,,2,0,2,1,0,0
Roman Kopylov,MW,"6' 0""","75.0""",Southpaw,3,2,1,10.677,5.309,4.323,0.058,0.000,0.017,401,0.058,0.029,0.087,0.464,0.666666667,0.0625,3.569,0.957,0.783,3.424,0.464,0.435,,,,,,1,0,2,0,0,0
Umar Nurmagomedov,BW,"5' 8""","69.0""",Orthodox,4,3,1,9.155,4.847,0.729,0.032,0.000,0.483,14,0.285,0.000,0.634,0.032,0.45,0,3.263,1.045,0.539,0.285,0.285,0.158,,,,,,,1,1,0,1,1
Raoni Barcelos,BW,"5' 7""","67.0""",Orthodox,4,1,3,12.423,5.819,6.141,0.060,0.020,0.176,141,0.060,0.000,0.262,0.181,0.230769231,0,4.309,0.846,0.664,3.322,1.953,0.866,,,,,,2,1,0,1,0,0
Javid Basharat,BW,"5' 9""","69.0""",Orthodox,3,3,0,11.222,5.867,2.756,0.000,0.000,0.190,245,0.111,0.089,0.200,0.600,0.555555556,0.148148148,3.644,1.556,0.667,1.578,0.467,0.711,,,,,,,3,0,0,0,0
Mateus Mendonca,BW,"5' 6""","71.0""",Orthodox,1,0,1,4.667,1.933,6.333,0.000,0.000,0.154,319,0.133,0.200,0.733,0.333,0.181818182,0.6,1.400,0.200,0.333,4.133,1.667,0.533,,,,,,1,0,0,0,0,0
Claudio Ribeiro,MW,"6' 1""","77.0""",Orthodox,1,0,1,9.878,3.476,3.110,0.000,0.183,0.049,188,0.000,0.000,0.000,0.366,No TD Att,0,1.098,0.549,1.829,2.378,0.732,0.000,,,,,,,0,0,1,0,0
Abdul Razak Alhassan,MW,"5' 10""","73.0""",Orthodox,4,2,2,5.706,2.378,2.741,0.056,0.000,0.188,842,0.084,0.364,0.168,0.895,0.5,0.40625,1.818,0.448,0.112,1.734,0.671,0.336,,,,,,2,0,2,0,0,0
Mateusz Rebecki,LW,"5' 7""","66.0""",Southpaw,1,1,0,15.200,5.933,2.267,0.000,0.000,0.563,34,0.200,0.067,0.267,0.200,0.75,0.333333333,3.533,1.800,0.600,1.667,0.467,0.133,,,,,,,1,0,0,0,0
Nick Fiore,LW,"5' 10""","72.0""",Orthodox,1,0,1,7.533,2.267,5.933,0.000,0.000,0.038,507,0.067,0.200,0.200,0.267,0.333333333,0.75,1.667,0.467,0.133,3.533,1.800,0.600,,,,,,1,0,0,0,0,0
Allan Nascimento,FLW,"5' 8""","69.0""",Orthodox,3,2,1,5.080,1.503,0.872,0.000,0.000,0.364,954,0.120,0.120,0.271,0.150,0.444444444,0.8,0.661,0.361,0.481,0.691,0.150,0.030,,,,,,1,1,0,0,0,1
Carlos Hernandez,FLW,"5' 8""","67.0""",Orthodox,2,1,1,10.128,4.763,4.653,0.000,0.000,0.075,230,0.109,0.164,0.493,0.438,0.222222222,0.375,3.175,1.040,0.547,1.861,2.409,0.383,,,,,,,1,0,0,1,0
Dan Argueta,FW,"5' 7""","68.0""",Southpaw,2,1,1,9.500,2.467,1.533,0.000,0.000,0.432,700,0.167,0.067,0.300,0.133,0.555555556,0.5,1.767,0.400,0.300,1.233,0.200,0.100,,,,,,1,1,0,0,0,0
Nick Aguirre,FW,"5' 9""","74.0""",Southpaw,1,0,1,3.133,0.933,3.133,0.000,0.000,0.083,614,0.000,0.267,0.000,0.400,No TD Att,0.666666667,0.933,0.000,0.000,1.933,0.600,0.600,,,,,,1,0,0,0,0,0
Jimmy Flick,FLW,"5' 7""","68.0""",Orthodox,1,0,1,2.857,1.538,7.473,0.000,0.000,0.088,99,0.220,0.000,0.659,0.000,0.333333333,No TD Att,0.659,0.659,0.220,4.396,2.198,0.879,,,,,,,0,0,1,0,0
Jared Cannonier,MW,"5' 11""","77.0""",Switch,4,3,1,9.955,4.344,4.735,0.012,0.012,0.051,357,0.012,0.142,0.059,0.166,0.2,0.857142857,2.202,1.420,0.722,3.066,0.994,0.675,,,,,,1,2,1,0,0,0
Sean Strickland,MW,"6' 1""","76.0""",Orthodox,3,2,1,16.267,6.547,5.133,0.000,0.000,0.104,31,0.067,0.000,0.093,0.107,0.714285714,0,5.653,0.773,0.120,1.800,2.093,1.240,,,,,,1,2,0,0,0,0
Arman tsarukyan,LW,,,,5,4,1,11.045,3.697,2.200,0.031,0.000,0.402,355,0.312,0.094,0.686,0.359,0.454545455,0.260869565,2.200,1.045,0.452,1.544,0.515,0.140,,,,,,1,2,2,0,0,0
Damir Ismagulov,LW,"5' 10""","74.0""",Orthodox,3,2,1,11.622,3.800,3.156,0.000,0.022,0.190,620,0.044,0.178,0.200,0.644,0.222222222,0.275862069,2.467,1.000,0.333,1.400,1.022,0.733,,,,,,1,2,0,0,0,0
Amir Albazi,FLW,"5' 5""","68.0""",Orthodox,3,3,0,10.666,3.681,2.737,0.063,0.000,0.382,27,0.157,0.031,0.346,0.094,0.454545455,0.333333333,2.297,0.818,0.566,0.944,1.290,0.503,,,,,,,1,1,0,0,1
Alessandro Costa,FLW,"5' 4""","67.0""",Orthodox,1,0,1,8.759,1.392,3.029,0.000,0.164,0.000,354,0.000,0.082,0.000,0.327,No TD Att,0.25,0.491,0.491,0.409,1.883,0.819,0.327,,,,,,,0,0,1,0,0
Alex Caceres ,FW,,,,3,3,0,8.389,4.138,2.219,0.038,0.038,0.174,467,0.038,0.038,0.038,0.602,1,0.0625,2.408,1.016,0.715,1.129,0.564,0.527,,,,,,,1,1,0,0,1
Julian Erosa,FW,"6' 1""","74.0""",Southpaw,6,4,2,17.322,7.930,7.106,0.021,0.062,0.182,64,0.144,0.000,0.330,0.041,0.4375,0,5.438,1.936,0.556,4.737,1.236,1.133,,,,,,,2,1,2,0,1
Drew Dober,LW,"5' 8""","70.0""",Southpaw,5,3,2,10.600,3.988,5.086,0.061,0.020,0.038,961,0.020,0.224,0.142,0.448,0.142857143,0.5,2.543,1.058,0.387,3.764,0.916,0.407,,,,,,1,0,3,0,1,0
Bobby Green,LW,"5' 10""","71.0""",Orthodox,5,2,3,18.806,10.126,5.465,0.023,0.023,0.010,132,0.000,0.023,0.092,0.069,0,0.333333333,7.348,1.952,0.827,2.893,1.401,1.171,,,,,,1,1,1,2,0,0
Cody Brundage,MW,"6' 0""","72.0""",Orthodox,4,2,2,5.818,1.823,2.560,0.039,0.000,0.220,745,0.194,0.194,0.388,0.621,0.5,0.3125,1.319,0.349,0.155,2.056,0.233,0.271,,,,,,1,0,1,1,0,1
Michal Oleksiejczuk,LHW,"6' 0""","74.0""",Southpaw,5,4,1,12.191,5.011,4.778,0.077,0.000,0.094,307,0.026,0.103,0.103,0.232,0.25,0.444444444,3.797,1.214,0.000,3.487,1.085,0.207,,,,,,1,1,3,0,0,0
Jake Matthews,WW,"5' 11""","73.0""",Orthodox,3,1,2,9.033,2.788,2.788,0.028,0.084,0.049,744,0.028,0.112,0.056,0.167,0.5,0.666666667,2.091,0.362,0.335,1.896,0.251,0.586,,,,,,1,0,1,0,1,0
Matthew Semelsberger,WW,"6' 1""","75.0""",Switch,6,4,2,10.295,3.784,4.429,0.099,0.000,0.197,581,0.083,0.083,0.116,0.198,0.714285714,0.416666667,2.346,0.727,0.677,3.024,0.661,0.744,,,,,,2,2,2,0,0,0
Saidyokub Kakhramonov,BW,"5' 8""","69.0""",Orthodox,3,2,1,9.978,2.053,0.883,0.000,0.000,0.553,568,0.442,0.052,0.909,0.312,0.485714286,0.166666667,1.481,0.364,0.208,0.442,0.312,0.130,,,,,,,1,0,0,1,1
Maheshate,LW,"6' 0""","71.0""",Orthodox,2,1,1,9.733,1.971,3.450,0.123,0.000,0.000,405,0.000,0.370,0.000,0.678,No TD Att,0.545454545,1.355,0.554,0.062,2.218,0.678,0.554,,,,,,1,0,1,0,0,0
Bryan Battle,MW,"6' 1""","77.0""",Orthodox,4,3,1,9.241,4.423,3.870,0.026,0.026,0.125,1087,0.053,0.290,0.263,0.474,0.2,0.611111111,1.869,1.896,0.658,2.685,0.737,0.448,,,,,,1,1,1,0,0,1
Rinat Fakhretdinov,WW,"6' 0""","74.0""",Orthodox,2,2,0,9.300,2.933,0.700,0.033,0.000,0.906,39,0.400,0.000,0.633,0.100,0.631578947,0,2.167,0.400,0.367,0.267,0.200,0.233,,,,,,,2,0,0,0,0
David Dvorak,FLW,"5' 5""","68.0""",Orthodox,3,1,2,8.793,2.508,3.251,0.000,0.062,0.139,105,0.062,0.000,0.155,0.124,0.4,0,1.424,0.495,0.588,1.827,0.960,0.464,,,,,,2,0,0,0,0,1
Manel Kape,FLW,"5' 5""","68.0""",Southpaw,5,3,2,9.244,4.464,3.924,0.074,0.000,0.039,337,0.037,0.074,0.130,0.242,0.285714286,0.307692308,2.957,0.818,0.688,1.841,1.209,0.874,,,,,,2,1,2,0,0,0
Sergey Morozov,BW,"5' 6""","67.0""",Orthodox,5,3,2,9.299,3.014,2.965,0.016,0.048,0.367,245,0.242,0.097,0.757,0.306,0.319148936,0.315789474,2.160,0.435,0.419,1.612,0.725,0.629,,,,,,,3,0,0,2,0
Journey Newson,BW,"5' 5""","67.0""",Orthodox,2,1,1,9.533,2.767,2.233,0.000,0.000,0.023,421,0.067,0.200,0.167,0.433,0.4,0.461538462,1.100,0.933,0.733,1.033,0.467,0.733,,,,,,1,1,0,0,0,0
Jan Blachowicz ,LHW,,,,4,2,2,8.437,3.193,2.976,0.000,0.000,0.106,1271,0.043,0.072,0.072,0.289,0.6,0.25,1.647,0.795,0.751,1.618,0.636,0.722,,,,,,,1,1,0,1,0
Magomed Ankalaev,LHW,"6' 3""","75.0""",Orthodox,5,4,1,9.824,3.528,2.587,0.011,0.011,0.285,172,0.079,0.011,0.284,0.091,0.28,0.125,2.189,0.953,0.386,0.908,0.647,1.032,,,,,,,3,1,0,0,0
Paddy Pimblett,LW,"5' 10""","73.0""",Orthodox,4,4,0,10.839,4.194,3.484,0.032,0.000,0.108,868,0.065,0.226,0.258,0.516,0.25,0.4375,2.484,0.710,1.000,1.806,0.935,0.742,,,,,,,1,1,0,0,2
Jared Gordon,FW,"5' 9""","68.0""",Orthodox,5,3,2,11.782,5.203,3.100,0.000,0.000,0.294,893,0.081,0.162,0.202,0.418,0.4,0.387096774,2.966,1.442,0.795,2.022,0.607,0.472,,,,,,1,3,0,0,1,0
Alex Morono,WW,"5' 11""","72.0""",Orthodox,5,4,1,17.243,7.019,6.022,0.039,0.039,0.074,208,0.000,0.039,0.117,0.137,0,0.285714286,5.963,0.958,0.098,2.776,2.463,0.782,,,,,,,3,1,1,0,0
Darren Till,MW,"6' 0""","74.0""",Southpaw,2,0,2,5.896,2.447,5.094,0.000,0.000,0.018,776,0.040,0.361,0.040,0.481,1,0.75,1.604,0.561,0.281,4.251,0.241,0.602,,,,,,,0,0,0,2,0
Bryce Mitchell,FW,"5' 10""","70.0""",Southpaw,2,1,1,13.079,3.022,2.417,0.043,0.043,0.559,80,0.216,0.000,0.561,0.000,0.384615385,No TD Att,2.158,0.647,0.216,1.597,0.475,0.345,,,,,,,1,0,0,1,0
Ilia Topuria,FW,"5' 7""","69.0""",Orthodox,3,3,0,9.441,4.091,3.566,0.105,0.052,0.279,96,0.052,0.052,0.210,0.629,0.25,0.083333333,3.252,0.524,0.315,2.308,0.839,0.420,,,,,,,0,2,0,0,1
Jay Perrin,BW,"5' 7""","67.0""",Switch,3,0,3,9.715,4.094,4.491,0.000,0.000,0.236,533,0.153,0.183,0.367,0.367,0.416666667,0.5,2.505,1.191,0.397,2.933,0.947,0.611,,,,,,2,0,0,0,1,0
Jairzinho Rozenstruik,HW,"6' 2""","78.0""",Orthodox,5,2,3,5.844,1.976,3.343,0.042,0.000,0.003,648,0.000,0.105,0.000,0.420,No TD Att,0.25,1.093,0.231,0.652,1.303,0.736,1.303,,,,,,2,0,2,1,0,0
Chris Daukaus,HW,"6' 3""","76.0""",Orthodox,5,2,3,11.784,5.465,4.782,0.114,0.171,0.064,33,0.000,0.000,0.000,0.114,No TD Att,0,4.839,0.342,0.285,3.586,0.512,0.683,,,,,,,0,2,3,0,0
Edmen Shahbazyan,MW,"6' 2""","74.0""",Orthodox,3,1,2,7.236,3.357,3.473,0.000,0.000,0.161,682,0.029,0.087,0.145,0.318,0.2,0.272727273,2.171,0.868,0.318,2.431,0.521,0.521,,,,,,1,0,1,1,0,0
Dalcha Lungiambula,MW,"5' 8""","76.0""",Orthodox,5,1,4,9.809,3.625,4.464,0.000,0.020,0.227,399,0.123,0.020,0.287,0.123,0.428571429,0.166666667,2.355,0.594,0.266,2.621,1.413,0.430,,,,,,1,1,0,2,1,0
Joaquin Buckley,MW,"5' 10""","76.0""",Southpaw,6,3,3,12.916,3.795,3.064,0.052,0.035,0.074,589,0.104,0.122,0.296,0.348,0.352941176,0.35,2.002,1.131,0.661,2.054,0.557,0.453,,,,,,1,1,2,2,0,0
Erik Silva,FW,"5' 9""","71.0""",Orthodox,1,0,1,3.069,1.535,1.754,0.000,0.000,0.189,583,0.219,0.146,0.292,0.512,0.75,0.285714286,0.877,0.438,0.219,1.462,0.292,0.000,,,,,,,0,0,0,1,0
Steven Koslow,BW,"5' 7""","69.0""",Switch,1,0,1,2.954,0.774,3.728,0.000,0.000,0.328,389,0.352,0.000,0.633,0.000,0.555555556,No TD Att,0.563,0.070,0.141,2.673,0.633,0.422,,,,,,,0,0,1,0,0
Stephen Thompson,WW,"6' 0""","75.0""",Orthodox,3,1,2,8.860,4.020,4.120,0.000,0.000,0.033,1231,0.000,0.240,0.020,0.420,0,0.571428571,2.620,0.980,0.420,2.500,0.520,1.100,,,,,,2,0,1,0,0,0
Rafael Dos Anjos,LW,"5' 8""","70.0""",Southpaw,3,2,1,9.714,4.326,3.095,0.019,0.019,0.488,244,0.205,0.000,0.690,0.075,0.297297297,0,2.853,0.970,0.336,2.144,0.727,0.224,,,,,,,1,0,1,0,1
Matt Schnell,FLW,"5' 8""","70.0""",Orthodox,5,2,3,12.860,4.735,4.838,0.021,0.062,0.074,331,0.041,0.041,0.062,0.041,0.666666667,1,3.473,0.868,0.393,3.349,0.662,0.827,,,,,,,1,0,1,1,1
Tai Tuivasa,HW,"6' 2""","75.0""",Southpaw,6,4,2,6.447,3.889,6.447,0.171,0.102,0.150,151,0.000,0.068,0.034,0.205,0,0.333333333,2.456,0.716,0.716,4.196,1.535,0.716,,,,,,,0,4,2,0,0
Sergei Pavlovich,HW,"6' 3""","84.0""",Southpaw,3,3,0,19.773,10.057,3.920,0.682,0.000,0.065,0,0.000,0.000,0.000,0.170,No TD Att,0,10.057,0.000,0.000,1.364,0.852,1.705,,,,,,,0,3,0,0,0
Jack Hermansson,MW,"6' 1""","77.0""",Orthodox,4,2,2,13.666,5.289,4.072,0.000,0.000,0.149,141,0.078,0.000,0.359,0.000,0.217391304,No TD Att,2.028,1.607,1.654,3.120,0.889,0.062,,,,,,1,2,0,0,1,0
Eryk Anders,MW,"6' 1""","75.0""",Southpaw,5,2,3,12.154,4.475,4.344,0.044,0.000,0.397,348,0.154,0.088,0.812,0.395,0.189189189,0.222222222,3.203,0.965,0.307,2.391,0.746,1.207,,,,,,1,1,1,0,1,0
Kyle Daukaus,MW,"6' 3""","76.0""",Southpaw,5,1,4,7.959,2.571,4.010,0.000,0.092,0.346,595,0.122,0.092,0.796,0.184,0.153846154,0.5,1.347,0.551,0.673,2.480,1.224,0.306,,,,,,1,0,0,2,0,1
Niko Price,WW,"6' 0""","76.0""",Orthodox,3,1,2,15.863,5.756,5.065,0.000,0.000,0.196,450,0.023,0.115,0.161,0.230,0.142857143,0.5,3.292,0.852,1.612,3.039,1.335,0.691,,,,,,1,1,0,1,0,0
Phil Rowe,WW,"6' 3""","80.0""",Orthodox,3,3,0,8.590,3.896,4.661,0.067,0.000,0.057,794,0.033,0.200,0.067,0.499,0.5,0.4,2.963,0.666,0.266,2.930,0.699,1.032,,,,,,,0,3,0,0,0
Scott Holtzman,LW,"5' 9""","69.0""",Orthodox,2,0,2,10.577,3.510,4.914,0.000,0.047,0.014,385,0.000,0.281,0.047,0.936,0,0.3,2.808,0.328,0.374,2.200,1.451,1.264,,,,,,1,0,0,1,0,0
Michael Johnson,LW,"5' 10""","73.0""",Southpaw,4,2,2,10.756,4.441,4.160,0.037,0.000,0.116,442,0.019,0.056,0.112,0.375,0.166666667,0.15,2.792,1.368,0.281,2.117,1.237,0.806,,,,,,2,1,1,0,0,0
Marc Diakiese,LW,"5' 10""","73.0""",Orthodox,4,2,2,6.432,1.880,2.265,0.000,0.000,0.556,65,0.406,0.000,0.769,0.085,0.527777778,0,0.748,0.534,0.598,1.047,0.876,0.342,,,,,,1,2,0,0,1,0
Darren Elkins,FW,"5' 10""","71.0""",Orthodox,4,2,2,15.561,3.756,5.195,0.000,0.024,0.093,561,0.195,0.098,0.463,0.220,0.421052632,0.444444444,3.244,0.488,0.024,3.854,0.805,0.537,,,,,,1,1,1,1,0,0
Jonathan Pearce,FW,"6' 0""","71.0""",Switch,4,4,0,13.401,4.823,2.223,0.000,0.000,0.527,217,0.377,0.147,0.692,0.294,0.545454545,0.5,3.628,0.776,0.419,1.804,0.294,0.126,,,,,,,2,1,0,0,1
Natan Levy,LW,"5' 9""","71.0""",Southpaw,3,2,1,9.400,4.578,4.178,0.000,0.000,0.203,454,0.400,0.222,0.733,0.356,0.545454545,0.625,2.467,1.400,0.711,2.467,1.311,0.400,,,,,,1,2,0,0,0,0
Genaro Valdez,LW,"5' 9""","72.0""",Orthodox,2,0,2,11.562,3.233,6.959,0.000,0.219,0.008,347,0.000,0.329,0.055,0.548,0,0.6,1.918,0.548,0.767,4.274,1.534,1.151,,,,,,1,0,0,1,0,0
Marcelo Rojo,FW,"5' 8""","71.0""",Orthodox,3,0,3,13.241,4.916,6.421,0.000,0.092,0.030,497,0.031,0.123,0.061,0.369,0.5,0.333333333,2.366,0.952,1.598,4.301,1.137,0.983,,,,,,,0,0,2,1,0
Francis Marshall,FW,"5' 9""","72.0""",Orthodox,1,1,0,14.278,3.690,4.973,0.160,0.000,0.447,0,0.160,0.000,0.481,0.000,0.333333333,No TD Att,3.209,0.321,0.160,3.209,0.642,1.123,,,,,,,0,1,0,0,0
Kennedy Nzechukwu,LHW,"6' 5""","83.0""",Southpaw,6,4,2,10.823,4.685,4.613,0.036,0.018,0.219,910,0.091,0.091,0.163,0.508,0.555555556,0.178571429,4.340,0.345,0.000,3.069,0.854,0.690,,,,,,1,0,4,1,0,0
Chase Sherman,HW,"6' 4""","78.0""",Orthodox,6,1,5,14.255,6.658,8.569,0.016,0.000,0.025,376,0.016,0.080,0.032,0.191,0.5,0.416666667,3.870,1.274,1.513,6.307,1.274,0.988,,,,,,3,0,1,0,2,0
Waldo Cortes-Acosta,HW,"6' 4""","78.0""",Orthodox,2,2,0,14.667,7.333,4.067,0.000,0.000,0.009,107,0.000,0.033,0.000,0.100,No TD Att,0.333333333,5.500,1.433,0.400,1.233,0.700,2.133,,,,,,,2,0,0,0,0
Andre Fialho,WW,"6' 0""","74.0""",Orthodox,5,2,3,8.603,3.171,6.219,0.049,0.025,0.029,231,0.000,0.049,0.000,0.172,No TD Att,0.285714286,2.311,0.418,0.442,3.589,1.721,0.909,,,,,,1,0,2,2,0,0
