Date,Fighter 1,Fighter 2,Winner,Weight Class,Venue,Title Fight,Main Event,F1 Lay Pray,F2 Lay Pray,Winner LP,F1 Failed LP,F2 Failed LP,Decision,Stinker,F1 Frozen,F2 Frozen,Potential Robbery,Stand Up,F1 Active,F2 Active,Comeback Win,BangFest,F1 Head Hunter,F2 Head Hunter,F1 Leg Kicker,F2 Leg Kicker,Paul Craig,Massacre,F1 Beatdown,F2 Beatdown,Time Elapsed,F1 TDA,F1 TDL,F1 Control Time,F2 TDA,F2 TDL,F2 Control Time,F1 Total Strikes,F1 Sig Strikes,F1 Head Strike,F1 Body Strike,F1 Leg Strike,F2 Total Strikes,F2 Sig Strikes,F2 Head Strike,F2 Body Strike,F2 Leg Strike,F1 KD,F2 KD,F1 Strike Acc%,F1 TD Acc%,F1 HS%,F1 BS%,F1 LS%,F1 Strike/Sec,F1 Sig Strike/Sec,F2 Strike Acc%,F2 TD Acc%,F2 HS%,F2 BS%,F2 LS%,F2 Strike/Sec,F2 Sig Strike/Sec,F1 Strike Diff,F1 Sig Strike Diff,F2 Strike Diff,F2 Sig Strike Diff,Submission,KO,Method of Victory ,Gender
3/11/2023,Nikita Krylov,Ryan Spann,F1,LHW,"Las Vegas, NV",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,218,2,2,159,2,1,32,31,7,2,2,3,11,4,4,1,0,0,0,0.226,1,0.286,0.286,0.429,0.021,0.005,0.364,0.5,0.031,0.008,0,0.007,0.003,20,3,-20,-3,1,0,Triangle Choke,M
3/11/2023,Said Nurmagomedov,Jonathan Martinez,F2,BW,"Las Vegas, NV",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,900,9,3,261,1,0,369,134,47,25,14,8,96,38,13,7,18,0,0,0.351,0.333,0.532,0.298,0.17,0.089,0.031,0.396,0,0.102,0.055,0.141,0.064,0.025,38,9,-38,-9,0,0,UD,M
3/11/2023,Mario Bautista,Guido Cannetti,F1,BW,"Las Vegas, NV",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,198,4,3,156,1,1,16,6,3,2,1,0,5,2,0,0,2,0,0,0.5,0.75,0.667,0.333,0,0.004,0.002,0.4,1,0,0,0.016,0.003,0.001,1,1,-1,-1,1,0,RNC,M
3/11/2023,Vito Petrino,Anton Turkalj,F1,LHW,"Las Vegas, NV",0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,900,9,7,373,15,5,280,104,39,27,10,2,69,33,19,7,7,0,0,0.375,0.778,0.692,0.256,0.051,0.069,0.026,0.478,0.333,0.148,0.055,0.055,0.046,0.022,35,6,-35,-6,0,0,UD,M
3/11/2023,Karl Williams,Lukasz Brzeski,F1,HW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,900,13,8,613,1,0,29,168,38,31,4,3,49,26,19,5,2,1,0,0.226,0.615,0.816,0.105,0.079,0.112,0.025,0.531,0,0.148,0.039,0.016,0.033,0.017,119,12,-119,-12,0,0,UD,M
3/11/2023,Raphael Assuncao ,Davey Grant,F2,BW,"Las Vegas, NV",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,883,12,5,257,0,0,52,85,42,16,8,18,154,65,28,18,19,0,1,0.494,0.417,0.381,0.19,0.429,0.057,0.028,0.422,No Takedown Attempted,0.219,0.141,0.148,0.103,0.043,-69,-23,69,23,1,0,Inverted Triangle,M
3/11/2023,Sedriques Dumas,Josh Fremd,F2,MW,"Las Vegas, NV",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,480,1,0,7,2,2,267,47,20,8,2,10,78,33,21,6,6,0,0,0.426,0,0.4,0.1,0.5,0.031,0.013,0.423,1,0.164,0.047,0.047,0.052,0.022,-31,-13,31,13,1,0,Guillotine,M
3/11/2023,Victor Henry,Tony Gravely,F1,BW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,900,0,0,80,17,3,202,281,154,92,55,7,169,75,44,20,11,0,0,0.548,No Takedown Attempted,0.597,0.357,0.045,0.187,0.103,0.444,0.176,0.344,0.156,0.086,0.113,0.05,112,79,-112,-79,0,0,SD,M
3/11/2023,Tyson Nam,Bruno Silva,F2,FYW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,383,0,0,0,1,0,53,38,12,6,3,3,50,23,14,5,4,0,1,0.316,No Takedown Attempted,0.5,0.25,0.25,0.025,0.008,0.46,0,0.109,0.039,0.031,0.033,0.015,-12,-11,12,11,1,0,RNC,M
3/11/2023,Carlston Harris,Jared Gooden,F1,WW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,900,12,5,578,0,0,2,194,63,52,10,1,126,51,22,21,8,0,0,0.325,0.417,0.825,0.159,0.016,0.129,0.042,0.405,No Takedown Attempted,0.172,0.164,0.063,0.084,0.034,68,12,-68,-12,0,0,UD,M
3/4/2023,Jon Jones,Ciryl Gane,F1,HW,"Las Vegas, NV",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,124,2,2,57,0,0,0,14,5,2,0,3,9,6,1,2,3,0,0,0.357,1,0.4,0,0.6,0.009,0.003,0.667,No Takedown Attempted,0.008,0.016,0.023,0.006,0.004,5,-1,-5,1,1,0,Guillotine,M
3/4/2023,Geoff Neal,Shavkat Rakhmonov,F2,WW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,857,0,0,72,4,0,223,145,69,63,4,2,186,113,69,39,5,0,0,0.476,No Takedown Attempted,0.913,0.058,0.029,0.097,0.046,0.608,0,0.539,0.305,0.039,0.124,0.075,-41,-44,41,44,1,0,RNC,M
3/4/2023,Mateusz Gamrot,Jalin Turner,F1,LW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,900,12,4,412,1,0,32,109,29,18,2,9,119,40,23,14,3,0,0,0.266,0.333,0.621,0.069,0.31,0.073,0.019,0.336,0,0.18,0.109,0.023,0.079,0.027,-10,-11,10,11,0,0,SD,M
3/4/2023,Bo Nickal,Jamie Pickett,F1,MW,"Las Vegas, NV",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,4,1,150,0,0,0,6,1,0,1,0,2,1,0,1,0,0,0,0.167,0.25,0,1,0,0.004,0.001,0.5,No Takedown Attempted,0,0.008,0,0.001,0.001,4,0,-4,0,1,0,Arm Triangle,M
3/4/2023,Cody Garbrandt,Trevin Jones,F1,BW,"Las Vegas, NV",0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,900,3,2,152,2,1,99,40,26,8,14,4,79,20,9,8,3,0,0,0.65,0.667,0.308,0.538,0.154,0.027,0.017,0.253,0.5,0.07,0.063,0.023,0.053,0.013,-39,6,39,-6,0,0,UD,M
3/4/2023,Derek Brunson,Dricus Du Plessis,F2,MW,"Las Vegas, NV",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,599,2,1,150,2,1,85,90,37,27,9,1,132,71,55,8,8,0,1,0.411,0.5,0.73,0.243,0.027,0.06,0.025,0.538,0.5,0.43,0.063,0.063,0.088,0.047,-42,-34,42,34,0,1,KO/TKO,M
